rank	entry	target	function	model_function	sidecar	ip_advance	function_count	share_status	slot_status	slot_expr	effects
80	152	0x9768c	function_9768c	vm_tier3_entry_152	vm_unobserved_handlers_retdec_batch02.c	11	2	primary_plus_empty_overlap_stub	state_effect_only_no_dispatch_return		share=primary_plus_empty_overlap_stub; ip += 11; retdec_tail=return is frame/result pointer after compare/flag side effects; ip_reads=+0x9/2,+0x1/2,+0x7/2,+0x0/1,+0x3/2,+0x5/2; frame_reads=0xa,0x170,0x199,0x0,0x10f; frame_writes=0x170,0xa; functions=function_9768c,function_979b0; ranges=0x9768c-0x979ab,0x979b0-0x979b5
81	19	0x7c30a	function_7c30a	vm_tier3_entry_019	vm_unobserved_handlers_retdec_batch02.c	11	2	primary_plus_empty_overlap_stub	state_effect_only_no_dispatch_return		share=primary_plus_empty_overlap_stub; ip += 11; retdec_tail=return is frame+ip cell after pointer compare and state update; ip_reads=+0x4/2,+0x2/2,+0x9/2,+0x8/1,+0x0/2,+0x6/2; frame_reads=0xa,0x81,0x199,0x10f,0x170; frame_writes=0x170,0xa; functions=function_7c30a,function_7c630; ranges=0x7c30a-0x7c62b,0x7c630-0x7c633
82	296	0xb625d	function_b625d	vm_tier3_entry_296	vm_unobserved_handlers_retdec_batch01.c	5	3	primary_plus_empty_overlap_stubs	state_effect_only_no_dispatch_return		share=primary_plus_empty_overlap_stubs; ip += 5; retdec_tail=return is frame/result pointer after flag/operand rewrite; ip_reads=+0x0/1,+0x1/2,+0x3/2; frame_reads=0xa,0x0,0x81,0x194,0x71,0x10f; frame_writes=0x71,0x0,0x170,0xa; functions=function_b625d,function_b64dc,function_b64df; ranges=0xb625d-0xb64d7,0xb64dc-0xb64de,0xb64df-0xb64e0
83	329	0xbc676	function_bc676	vm_tier3_entry_329	vm_unobserved_handlers_retdec_batch03.c	5	2	primary_plus_empty_overlap_stub	noisy_dispatch_base_candidate		share=primary_plus_empty_overlap_stub; ip += 5; retdec_tail=RetDec references dispatch base but return algebra is g3/noise-mixed; ip_reads=+0x3/2,+0x0/1,+0x1/2; frame_reads=0xa,0x0,0x170,0x194,0x71,0x10f,0x23; frame_writes=0x170,0x71,0x0,0xa; functions=function_bc676,function_bc9bd; ranges=0xbc676-0xbc9b8,0xbc9bd-0xbc9c0
84	177	0x9c3f7	function_9c3f7	vm_tier3_entry_177	vm_unobserved_handlers_retdec_batch03.c	5	2	primary_plus_large_neighbor_body	masked_return_slot_requires_g3		share=primary_plus_large_neighbor_body; ip += 5; retdec_tail=return is g3-masked state/slot candidate; ip_reads=+0x3/2,+0x2/1,+0x0/2; frame_reads=0xa,0x10f; frame_writes=0x199,0x170,0xa; functions=function_9c3f7,function_9c74a; ranges=0x9c3f7-0x9c74a,0x9c74a-0x9ca8d
85	103	0x8df9c	function_8df9c	vm_tier3_entry_103	vm_unobserved_handlers_retdec_batch03.c	5	2	primary_plus_empty_overlap_stub	non_dispatch_predicate_return		share=primary_plus_empty_overlap_stub; ip += 5; retdec_tail=return is low predicate bits; ip_reads=+0x3/2,+0x2/1,+0x0/2; frame_reads=0xa,0x0,0x60,0x81,0x194,0x71,0x10f,0x170; frame_writes=0x71,0x0,0x60,0x170,0xa; functions=function_8df9c,function_8e2f7; ranges=0x8df9c-0x8e2ef,0x8e2f7-0x8e2fc
86	24	0x7d5ec	function_7d5ec	vm_tier3_entry_024	vm_unobserved_handlers_retdec_batch03.c	11	2	primary_plus_empty_overlap_stub	retdec_dispatch_table_slot	((((0x7d53d38d - state0 + s16(ip+6)) & state0) ^ s16(ip+2)) + 0x565) & 0xffff	share=primary_plus_empty_overlap_stub; ip += 11; retdec_tail=return dispatch_base + slot after state_after = (0x7d53d38d - state0 + s16(ip+6)) & state0; ip_reads=+0x0/2,+0x4/2,+0x9/2,+0x6/1,+0x7/2,+0x2/2; frame_reads=0xa,0x23,0x199,0x10f,0x170; frame_writes=0x23,0xa; functions=function_7d5ec,function_7d945; ranges=0x7d5ec-0x7d941,0x7d945-0x7d94c
87	343	0xbfc0d	function_bfc0d	vm_tier3_entry_343	vm_unobserved_handlers_retdec_batch03.c	11	2	primary_plus_large_neighbor_body	state_effect_only_no_dispatch_return		share=primary_plus_large_neighbor_body; ip += 11; retdec_tail=return is frame/result pointer after compare/flag side effects; ip_reads=+0x5/2,+0x3/2,+0x0/2,+0x2/1,+0x9/2,+0x7/2; frame_reads=0xa,0x170,0x199,0x0,0x10f; frame_writes=0x170,0xa; functions=function_bfc0d,function_bff6a; ranges=0xbfc0d-0xbff6a,0xbff6a-0xc02e4
88	51	0x83061	function_83061	vm_tier3_entry_051	vm_unobserved_handlers_retdec_batch03.c	11	2	primary_plus_empty_overlap_stub	state_effect_only_no_dispatch_return		share=primary_plus_empty_overlap_stub; ip += 11; retdec_tail=return is frame/result pointer after pointer compare and state update; ip_reads=+0x9/2,+0x2/2,+0x0/2,+0x4/1,+0x5/2,+0x7/2; frame_reads=0xa,0x170,0x23,0x199,0x10f; frame_writes=0x23,0x170,0xa; functions=function_83061,function_833cc; ranges=0x83061-0x833c7,0x833cc-0x833cf
89	8	0x79a3d	function_79a3d	vm_tier3_entry_008	vm_unobserved_handlers_retdec_batch03.c	5	2	primary_plus_empty_overlap_stub	retdec_dispatch_table_slot	(s16(ip+0) + 0x4c6) & 0xffff	share=primary_plus_empty_overlap_stub; ip += 5; retdec_tail=return dispatch_table[s16(ip+0)+0x4c6] after rotate/flag side effects; ip_reads=+0x3/2,+0x2/1,+0x0/2; frame_reads=0xa,0x60,0x0,0x23,0x194,0x71,0x10f; frame_writes=0x71,0x60,0x0,0x170,0xa; functions=function_79a3d,function_79da7; ranges=0x79a3d-0x79da3,0x79da7-0x79dad
90	277	0xb1fd5	function_b1fd5	vm_tier3_entry_277	vm_unobserved_handlers_retdec_batch03.c	5	2	primary_plus_empty_overlap_stub	noisy_dispatch_base_candidate		share=primary_plus_empty_overlap_stub; ip += 5; retdec_tail=RetDec references dispatch base but return algebra is g3/noise-mixed; ip_reads=+0x3/2,+0x2/1,+0x0/2; frame_reads=0xa,0x0,0x170,0x60,0x194,0x23,0x71,0x10f; frame_writes=0x71,0x170,0x60,0x0,0xa; functions=function_b1fd5,function_b2346; ranges=0xb1fd5-0xb2342,0xb2346-0xb2350
91	4	0x792f8	function_792f8	vm_tier3_entry_004	vm_unobserved_handlers_retdec_batch03.c	6	2	primary_plus_empty_overlap_stub	g2_mask_return_no_dispatch_slot		share=primary_plus_empty_overlap_stub; ip += 6; retdec_tail=return is g2 mask address, not dispatch; ip_reads=+0x0/4,+0x4/2; frame_reads=0x170,0x194,0x23,0x0,0x81,0xa,0x10f; frame_writes=0x170,0x23,0x16f,0x0,0xa; functions=function_792f8,function_79677; ranges=0x792f8-0x79675,0x79677-0x7967a
92	212	0xa3a4b	function_a3a4b	vm_tier3_entry_212	vm_unobserved_handlers_retdec_batch03.c	8	2	primary_plus_empty_overlap_stub	state_effect_only_no_dispatch_return		share=primary_plus_empty_overlap_stub; ip += 8; retdec_tail=return is frame/result pointer after qword pointer step; ip_reads=+0x0/2,+0x4/2,+0x6/2,+0x2/2; frame_reads=0xa,0x170,0x199,0x23,0x10f; frame_writes=0x23,0x170,0xa; functions=function_a3a4b,function_a3dc9; ranges=0xa3a4b-0xa3dc7,0xa3dc9-0xa3dce
93	211	0xa36c9	function_a36c9	vm_tier3_entry_211	vm_unobserved_handlers_retdec_batch04.c	10	2	primary_plus_empty_overlap_stub	masked_noisy_return_no_dispatch_slot		share=primary_plus_empty_overlap_stub; ip += 10; retdec_tail=return is g3/base-mangled arithmetic residue; ip_reads=+0x0/4,+0x0/8,+0x8/2; frame_reads=0x81,0x23,0x170,0xa,0x71,0x10f; frame_writes=0x23,0x170,0x60,0xa; functions=function_a36c9,function_a3a4d; ranges=0xa36c9-0xa3a4b,0xa3a4d-0xa3a50
94	312	0xb87aa	function_b87aa	vm_tier3_entry_312	vm_unobserved_handlers_retdec_batch04.c	5	2	primary_plus_empty_overlap_stub	masked_dispatch_base_requires_g3		share=primary_plus_empty_overlap_stub; ip += 5; retdec_tail=return mixes dispatch base address with g3 mask; ip_reads=+0x0/1,+0x1/2,+0x3/2; frame_reads=0x194,0x81,0xa,0x0,0x60,0x170,0x23,0x71,0x10f; frame_writes=0x170,0x71,0x23,0x0,0x60,0xa; functions=function_b87aa,function_b8b47; ranges=0xb87aa-0xb8b42,0xb8b47-0xb8b4a
95	104	0x8e2ef	function_8e2ef	vm_tier3_entry_104	vm_unobserved_handlers_retdec_batch04.c	5	2	primary_plus_empty_overlap_stub	state_effect_only_no_dispatch_return		share=primary_plus_empty_overlap_stub; ip += 5; retdec_tail=return is frame/result pointer on both RetDec branches; ip_reads=+0x0/1,+0x1/2,+0x3/2; frame_reads=0x23,0xa,0x60,0x0,0x194,0x71,0x10f,0x170; frame_writes=0x23,0x71,0x60,0x0,0xa; functions=function_8e2ef,function_8e6b6; ranges=0x8e2ef-0x8e6b4,0x8e6b6-0x8e6c2
96	27	0x7dfbf	function_7dfbf	vm_tier3_entry_027	vm_unobserved_handlers_retdec_batch04.c	5	2	primary_plus_empty_overlap_stub	state_effect_only_no_dispatch_return		share=primary_plus_empty_overlap_stub; ip += 5; retdec_tail=return is frame/result pointer after operand/state rewrite; ip_reads=+0x3/2,+0x2/1,+0x0/2; frame_reads=0xa,0x170,0x10f; frame_writes=0x199,0x170,0xa; functions=function_7dfbf,function_7e392; ranges=0x7dfbf-0x7e390,0x7e392-0x7e397
97	89	0x8b028	function_8b028	vm_tier3_entry_089	vm_unobserved_handlers_retdec_batch02.c	11	3	primary_plus_empty_overlap_stubs	non_dispatch_pointer_return		share=primary_plus_empty_overlap_stubs; ip += 11; retdec_tail=return is frame+0x81 plus predicate-selected residue; ip_reads=+0x1/2,+0x5/2,+0x3/2,+0x0/1,+0x7/2,+0x9/2; frame_reads=0xa,0x199,0x81,0x10f,0x170,0x23; frame_writes=0x170,0xa; functions=function_8b028,function_8b336,function_8b339; ranges=0x8b028-0x8b334,0x8b336-0x8b338,0x8b339-0x8b33a
98	230	0xa757f	function_a757f	vm_tier3_entry_230	vm_unobserved_handlers_retdec_batch04.c	5	2	primary_plus_empty_overlap_stub	noisy_dispatch_base_candidate		share=primary_plus_empty_overlap_stub; ip += 5; retdec_tail=RetDec reads dispatch base but return subtracts masked low-slot residue; ip_reads=+0x4/1,+0x0/2,+0x2/2; frame_reads=0x81,0x71,0x0,0xa,0x60,0x23,0x194,0x170,0x10f; frame_writes=0x170,0x23,0x71,0x60,0x0,0xa; functions=function_a757f,function_a799e; ranges=0xa757f-0xa799b,0xa799e-0xa79a9
99	294	0xb5d7c	function_b5d7c	vm_tier3_entry_294	vm_unobserved_handlers_retdec_batch03.c	5	3	primary_plus_empty_overlap_stubs	masked_noisy_return_no_dispatch_slot		share=primary_plus_empty_overlap_stubs; ip += 5; retdec_tail=return is obfuscated pointer/noise expression; ip_reads=+0x0/2,+0x4/1,+0x2/2; frame_reads=0xa,0x10f,0x170; frame_writes=0x199,0x170,0xa; functions=function_b5d7c,function_b60e2,function_b60e7; ranges=0xb5d7c-0xb60e0,0xb60e2-0xb60e4,0xb60e7-0xb60ed
100	2	0x788e2	function_788e2	vm_tier3_entry_002	vm_unobserved_handlers_retdec_batch04.c	10	3	primary_plus_empty_overlap_stubs	state_effect_only_no_dispatch_return		share=primary_plus_empty_overlap_stubs; ip += 10; retdec_tail=return is frame/result pointer after wide operand update; ip_reads=+0x2/4,+0x2/8,+0x0/2; frame_reads=0x23,0xa,0x170,0x71,0x81,0x194,0x10f; frame_writes=0x170,0x23,0x60,0xa; functions=function_788e2,function_78c79,function_78c7f; ranges=0x788e2-0x78c77,0x78c79-0x78c7b,0x78c7f-0x78c80
101	166	0x9a46e	function_9a46e	vm_tier3_entry_166	vm_unobserved_handlers_retdec_batch05.c	6	2	primary_plus_empty_overlap_stub	masked_return_slot_requires_g3		share=primary_plus_empty_overlap_stub; ip += 6; retdec_tail=return is g3-masked state/slot candidate; ip_reads=+0x2/4,+0x0/2; frame_reads=0x170,0x23,0x81,0x71,0xa,0x0,0x10f; frame_writes=0x170,0x23,0x16f,0x0,0xa; functions=function_9a46e,function_9a8d4; ranges=0x9a46e-0x9a8d2,0x9a8d4-0x9a8d5
102	271	0xb09ab	function_b09ab	vm_tier3_entry_271	vm_unobserved_handlers_retdec_batch05.c	10	2	primary_plus_empty_overlap_stub	constant_pointer_return_no_dispatch_slot		share=primary_plus_empty_overlap_stub; ip += 10; retdec_tail=return is frame plus constant offset; ip_reads=+0x0/4,+0x0/8,+0x8/2; frame_reads=0x23,0x170,0xa,0x81,0x0,0x194,0x10f; frame_writes=0x170,0x23,0x60,0xa; functions=function_b09ab,function_b0e32; ranges=0xb09ab-0xb0e30,0xb0e32-0xb0e37
103	10	0x7a04f	function_7a04f	vm_tier3_entry_010	vm_unobserved_handlers_retdec_batch05.c	5	2	primary_plus_empty_overlap_stub	noisy_dispatch_base_candidate		share=primary_plus_empty_overlap_stub; ip += 5; retdec_tail=RetDec reads dispatch base but return is g3/noise-mixed; ip_reads=+0x4/1,+0x2/2,+0x0/2; frame_reads=0x0,0x170,0x81,0x194,0xa,0x23,0x60,0x71,0x10f; frame_writes=0x170,0x23,0x71,0x0,0x60,0xa; functions=function_7a04f,function_7a4e3; ranges=0x7a04f-0x7a4d8,0x7a4e3-0x7a4e6
104	249	0xac440	function_ac440	vm_tier3_entry_249	vm_unobserved_handlers_retdec_batch04.c	11	3	primary_plus_empty_overlap_stubs	retdec_raw_mod_slot	((s16(ip+0) - state0 + 0x4522afca) & 0xffff)	share=primary_plus_empty_overlap_stubs; ip += 11; retdec_tail=RetDec return is raw modulo slot without dispatch base; ip_reads=+0x9/2,+0x4/2,+0x2/2,+0x8/1,+0x6/2,+0x0/2; frame_reads=0xa,0x81,0x23,0x199,0x10f,0x170; frame_writes=0x23,0x170,0xa; functions=function_ac440,function_ac804,function_ac807; ranges=0xac440-0xac802,0xac804-0xac806,0xac807-0xac808
105	207	0xa1ecf	function_a1ecf	vm_tier3_entry_207	vm_unobserved_handlers_retdec_batch05.c	6	2	primary_plus_empty_overlap_stub	masked_dispatch_base_candidate		share=primary_plus_empty_overlap_stub; ip += 6; retdec_tail=return is dispatch base OR mask mixed with frame+state; ip_reads=+0x0/4,+0x4/2; frame_reads=0x23,0x81,0x170,0x0,0xa,0x194,0x10f; frame_writes=0x170,0x16f,0x0,0x23,0xa; functions=function_a1ecf,function_a2366; ranges=0xa1ecf-0xa2361,0xa2366-0xa2369
106	134	0x9406d	function_9406d	vm_tier3_entry_134	vm_unobserved_handlers_retdec_batch04.c	6	3	primary_plus_empty_overlap_stubs	noisy_dispatch_base_candidate		share=primary_plus_empty_overlap_stubs; ip += 6; retdec_tail=RetDec reads dispatch base but return algebra is g3/noise-mixed; ip_reads=+0x0/4,+0x4/2; frame_reads=0x23,0x170,0x81,0xa,0x194,0x0,0x10f; frame_writes=0x23,0x170,0x16f,0x0,0xa; functions=function_9406d,function_9447d,function_94483; ranges=0x9406d-0x94478,0x9447d-0x9447f,0x94483-0x94484
107	223	0xa6470	function_a6470	vm_tier3_entry_223	vm_unobserved_handlers_retdec_batch05.c	5	3	primary_plus_empty_overlap_stubs	noisy_dispatch_base_candidate		share=primary_plus_empty_overlap_stubs; ip += 5; retdec_tail=RetDec reads dispatch base but return algebra is heavily base/noise-mixed; ip_reads=+0x2/1,+0x3/2,+0x0/2; frame_reads=0x81,0x71,0xa,0x60,0x0,0x194,0x23,0x10f,0x170; frame_writes=0x170,0x71,0x60,0x0,0xa; functions=function_a6470,function_a68c4,function_a68ca; ranges=0xa6470-0xa68c2,0xa68c4-0xa68c9,0xa68ca-0xa68cf
108	22	0x7cb43	function_7cb43	vm_tier3_entry_022	vm_unobserved_handlers_retdec_batch05.c	5	3	primary_plus_empty_overlap_stubs	state_effect_only_no_dispatch_return		share=primary_plus_empty_overlap_stubs; ip += 5; retdec_tail=return is frame/result pointer after operand/state rewrite; ip_reads=+0x2/1,+0x0/2,+0x3/2; frame_reads=0x81,0x194,0x23,0x0,0x170,0xa,0x60,0x71,0x10f; frame_writes=0x23,0x170,0x71,0x60,0x0,0xa; functions=function_7cb43,function_7d009,function_7d00c; ranges=0x7cb43-0x7d007,0x7d009-0x7d00b,0x7d00c-0x7d00d
109	81	0x88c3f	function_88c3f	vm_tier3_entry_081	vm_unobserved_handlers_retdec_batch06.c	5	2	primary_plus_empty_overlap_stub	state_effect_only_no_dispatch_return		share=primary_plus_empty_overlap_stub; ip += 5; retdec_tail=return is frame/result pointer after operand/state rewrite; ip_reads=+0x4/1,+0x2/2,+0x0/2; frame_reads=0x23,0xa,0x0,0x60,0x194,0x81,0x71,0x10f,0x170; frame_writes=0x170,0x71,0x0,0x60,0xa; functions=function_88c3f,function_89216; ranges=0x88c3f-0x8920e,0x89216-0x89219
