kind	byte_status	source_entry	source_class	source_observation	source_delta	source_shape	target_entry	target_class	semantic_gap_class	span_len	known_footprint_len	known_footprint_source	unresolved_tail_len	static_ip_advance_site	top_prefix_variants	top_tail_variants	tail_u16_candidates	events	unique_start_ips	unique_end_ips	byte_variants	terminal_blocks	terminal_events	top_targets	terminal_target_entries	top_deltas	byte_layout	top_byte_variants	source_state_ir	source_dispatch_ir	source_ip_ir	source_long_ir	source_sampled_ir
hidden_span	hidden_span_of_14	264	affine_dispatch_fallback	exact	+0xa	VVECCCVVEC	165	static_validated	known_prefix_plus_tail	0xe	0xa	exact_shape	0x4		860c41e8b64d:25:682737008000a9d44800;621a4b7bfa05:2:30bd24008000b6290700;f0107c0652ac:1:4bb333008000ff4d0200;a74053693a09:1:41ea36008000ff4d0200;056aeff24860:1:76213700800060830700;cbcaf5f448ab:1:c64d120080003a9c0200	2c3b78dca0ce:27:e801a500;e9e51cfc7d31:4:a500e801	27:+0x2:165*;4:+0x0:165*	31	6	6	6	6	31	165:31	264:31	+0xe:31	b0=enum3(0x68:25,0x30:2,0x4b:1);b1=enum3(0x27:25,0xbd:2,0xb3:1);b2=enum3(0x37:26,0x24:2,0x33:1);b3=0x00;b4=0x80;b5=0x00;b6=enum3(0xa9:25,0xb6:2,0xff:2);b7=enum3(0xd4:25,0x29:2,0x4d:2);b8=enum3(0x48:25,0x07:3,0x02:3);b9=0x00;b10=enum2(0xe8:27,0xa5:4);b11=enum2(0x01:27,0x00:4);b12=enum2(0xa5:27,0xe8:4);b13=enum2(0x00:27,0x01:4)	8f576d5065a9:25:682737008000a9d44800e801a500;0f3fb84096bd:2:30bd24008000b6290700a500e801;fe058e4272dd:1:4bb333008000ff4d0200a500e801;50a1e15caf25:1:41ea36008000ff4d0200e801a500;63cae633bb2a:1:76213700800060830700e801a500;b443b49f8f18:1:c64d120080003a9c0200a500e801	0xaf88c: state and= state0 & u16_8 + state0 - 0x6fba3362	49=(mask32((mask32(u16_8 + state0)) - 0x6fba3362)) & 0xffff	49=0x22		
hidden_span	hidden_span_of_14	311	affine_dispatch_fallback	exact	+0xa	VVECCCVVEC	171	static_validated	known_prefix_plus_tail	0xe	0xa	exact_shape	0x4		d85624803732:25:7a2b370080008e500200;b277ad58fe94:1:1b32120080001c600300;11addfaa875e:1:9b34120080001c600300;4cd2c9d36b84:1:a2c918008000945e0300;3db7ad08485e:1:d2fa310080006c510700;5175a8a58790:1:010732008000ff4d0200	84058bb8e996:29:e801ab00;2c1b3e824c9e:2:ab00e801	29:+0x2:171*;2:+0x0:171*	31	7	7	7	7	31	171:31	311:31	+0xe:31	b0=enum3(0x7a:25,0x1b:1,0x9b:1);b1=enum3(0x2b:25,0x32:1,0x34:1);b2=enum3(0x37:25,0x12:2,0x18:1);b3=0x00;b4=0x80;b5=0x00;b6=enum3(0x8e:25,0x1c:2,0x94:1);b7=enum3(0x50:25,0x60:2,0x5e:1);b8=enum3(0x02:27,0x03:3,0x07:1);b9=0x00;b10=enum2(0xe8:29,0xab:2);b11=enum2(0x01:29,0x00:2);b12=enum2(0xab:29,0xe8:2);b13=enum2(0x00:29,0x01:2)	3f3f1bef2370:25:7a2b370080008e500200e801ab00;83162fa5857c:1:1b32120080001c600300e801ab00;f7300185836d:1:9b34120080001c600300e801ab00;e3c4a58cbd82:1:a2c918008000945e0300e801ab00;1e6cef2975e0:1:d2fa310080006c510700e801ab00;55f8f899b56b:1:010732008000ff4d0200ab00e801	0xb87ef: state sub= state0 - 0x1889c111 | 0xb8997: state sub= state0 - 0x1889c111 - flags0 - state0 - 0x1889c111 + 0x3cae9026 | 0x2b959efa | 0x35e8abc1 | 0xb8ae7: state sub= sta...	67=(mask32((mask32(u16_3 ^ (mask32((mask32(state0 - 0x1889c111)) - (mask32((mask32((mask32(flags0 - (mask32((mask32(state0 - 0x1889c111)) + 0x3cae9026)))) | 0x2b959efa)) | 0x35e...	67=0x5		1=sampled operand footprint 0xa, observed target table[42], delta +0x169eb | 1=sampled operand footprint 0xa, observed target table[42], delta -0x34ced
hidden_span	hidden_span_of_17	145	sampled_only	sampled_long_or_sparse	+0x139	sampled	66	static_validated	known_prefix_plus_tail	0x11	0xb	long_branch_operand	0x6		4aa6655dcddd:25:62010000790200003d0122;6ae37f3df12d:1:62010000711000003d0122	0679ccd019a7:25:e8040ecb6800;f6c2b4530483:1:6008e5a8ba63	25:+0x4:104	26	2	2	2	1	1	66:26	145:1	+0x11:26	b0=0x62;b1=0x01;b2=0x00;b3=0x00;b4=enum2(0x79:25,0x71:1);b5=enum2(0x02:25,0x10:1);b6=0x00;b7=0x00;b8=0x3d;b9=0x01;b10=0x22;b11=enum2(0xe8:25,0x60:1);b12=enum2(0x04:25,0x08:1);b13=enum2(0x0e:25,0xe5:1);b14=enum2(0xcb:25,0xa8:1);b15=enum2(0x68:25,0xba:1);...1 omitted	03ad178cb33c:25:62010000790200003d0122e8040ecb6800;d23bd3aba492:1:62010000711000003d01226008e5a8ba63				125=next = table[354], ip += 0x139 | 4=next = table[165], ip += 0xbec	
hidden_span	hidden_span_of_19	145	sampled_only	sampled_long_or_sparse	+0x139	sampled	196	static_validated	known_prefix_plus_tail	0x13	0xb	long_branch_operand	0x8		48cabc14b00b:25:620100002d0000003d019a	98a812737eda:25:400604b8de822006		25	1	1	1	1	25	196:25	145:25	+0x13:25	b0=0x62;b1=0x01;b2=0x00;b3=0x00;b4=0x2d;b5=0x00;b6=0x00;b7=0x00;b8=0x3d;b9=0x01;b10=0x9a;b11=0x40;b12=0x06;b13=0x04;b14=0xb8;b15=0xde;...3 omitted	89f785d4bb58:25:620100002d0000003d019a400604b8de822006				125=next = table[354], ip += 0x139 | 4=next = table[165], ip += 0xbec	
hidden_span	hidden_span_of_16	246	sampled_only	sampled_long_or_sparse	+0x78	sampled	347	static_validated	known_prefix_plus_tail	0x10	0xb	long_branch_operand	0x5		51bd3fae4235:25:a5000000ca0f00003d0122	c092e5506079:25:f65289bebc		25	1	1	1	1	25	347:25	246:25	+0x10:25	b0=0xa5;b1=0x00;b2=0x00;b3=0x00;b4=0xca;b5=0x0f;b6=0x00;b7=0x00;b8=0x3d;b9=0x01;b10=0x22;b11=0xf6;b12=0x52;b13=0x89;b14=0xbe;b15=0xbc	2047caef8539:25:a5000000ca0f00003d0122f65289bebc				25=next = table[165], ip += 0x78 | 3=next = table[165], ip += 0x792	
hidden_span	hidden_span_of_16	316	sampled_only	sampled_backedge	-0x3c4	sampled	268	static_validated	known_prefix_plus_tail	0x10	0xb	long_branch_operand	0x5		c51a076f4e1a:25:a5000000430000003d019a	e1d24a4fa77b:25:95f3e615b2		25	1	1	1	1	25	268:25	316:25	+0x10:25	b0=0xa5;b1=0x00;b2=0x00;b3=0x00;b4=0x43;b5=0x00;b6=0x00;b7=0x00;b8=0x3d;b9=0x01;b10=0x9a;b11=0x95;b12=0xf3;b13=0xe6;b14=0x15;b15=0xb2	d1a5ff279a04:25:a5000000430000003d019a95f3e615b2				255=next = table[165], ip -= 0x3c4 | 91=next = table[171], ip += 0x2d	
hidden_span	hidden_span_of_17	316	sampled_only	sampled_backedge	-0x3c4	sampled	203	static_validated	known_prefix_plus_tail	0x11	0xb	long_branch_operand	0x6		1b68ddde6e52:25:a5000000c31200003d0122	10766c2faba5:25:512d5cd89cbc		25	1	1	1	0	0	203:25		+0x11:25	b0=0xa5;b1=0x00;b2=0x00;b3=0x00;b4=0xc3;b5=0x12;b6=0x00;b7=0x00;b8=0x3d;b9=0x01;b10=0x22;b11=0x51;b12=0x2d;b13=0x5c;b14=0xd8;b15=0x9c;...1 omitted	5444a6238ddb:25:a5000000c31200003d0122512d5cd89cbc				255=next = table[165], ip -= 0x3c4 | 91=next = table[171], ip += 0x2d	
hidden_span	hidden_span_of_22	145	sampled_only	sampled_long_or_sparse	+0x139	sampled	203	static_validated	known_prefix_plus_tail	0x16	0xb	long_branch_operand	0xb		9791338fad96:22:ab000000300000003d0122	d790df9f5983:22:a006130023569d013d0180	22:+0x2:19,+0x8:317	22	1	1	1	0	0	203:22		+0x16:22	b0=0xab;b1=0x00;b2=0x00;b3=0x00;b4=0x30;b5=0x00;b6=0x00;b7=0x00;b8=0x3d;b9=0x01;b10=0x22;b11=0xa0;b12=0x06;b13=0x13;b14=0x00;b15=0x23;...6 omitted	bc405540b5d2:22:ab000000300000003d0122a006130023569d013d0180				125=next = table[354], ip += 0x139 | 4=next = table[165], ip += 0xbec	
hidden_span	hidden_span_of_14	216	affine_dispatch_fallback	exact	+0xa	VVECCCVVEC	171	static_validated	known_prefix_plus_tail	0xe	0xa	exact_shape	0x4		7805ac0dd7e9:4:9ce436008000b6510700;75e3283c1c68:3:79e736008000c9d74800;c53a8ce7bcb3:2:3cc62400800060654b00;568bdd73a0d3:2:0dc924008000a01c4b00;23b8351e346b:1:033b1200800028880200;6ace5f417fc3:1:64fc3100800092510700	2c1b3e824c9e:11:ab00e801;84058bb8e996:8:e801ab00	11:+0x0:171*;8:+0x2:171*	19	12	12	12	12	19	171:19	216:19	+0xe:19	b0=enum3(0x9c:4,0x0d:3,0x79:3);b1=enum3(0xe4:4,0xe7:3,0xc6:2);b2=enum3(0x36:8,0x24:4,0x17:4);b3=0x00;b4=0x80;b5=0x00;b6=enum3(0xb6:4,0xc9:3,0x60:2);b7=enum3(0x51:6,0xd7:3,0x65:2);b8=enum3(0x07:7,0x4b:4,0x48:3);b9=0x00;b10=enum2(0xab:11,0xe8:8);b11=enum2(0x00:11,0x01:8);b12=enum2(0xe8:11,0xab:8);b13=enum2(0x01:11,0x00:8)	8a3d84de7839:4:9ce436008000b6510700ab00e801;88f70f9abde5:3:79e736008000c9d74800e801ab00;8a7f13a623c3:2:3cc62400800060654b00ab00e801;7c8d41bec2bd:2:0dc924008000a01c4b00ab00e801;0b0f5c8daa67:1:033b1200800028880200e801ab00;72cb32859b04:1:64fc3100800092510700e801ab00	0xa4b33: state xor= state0 ^ flags0	112=(mask32(u16_1 - (mask32(state0 ^ flags0)))) & 0xffff	112=0x5		
hidden_span	hidden_span_of_22	210	sampled_only	sampled_long_or_sparse	+0x30	sampled	157	static_validated	known_prefix_plus_tail	0x16	0xb	long_branch_operand	0xb		9791338fad96:18:ab000000300000003d0122	bbc55c1806ea:18:34ec13003d019d0180141a	18:+0x2:19,+0x4:317	18	1	1	1	0	0	157:18		+0x16:18	b0=0xab;b1=0x00;b2=0x00;b3=0x00;b4=0x30;b5=0x00;b6=0x00;b7=0x00;b8=0x3d;b9=0x01;b10=0x22;b11=0x34;b12=0xec;b13=0x13;b14=0x00;b15=0x3d;...6 omitted	76d96d0d500e:18:ab000000300000003d012234ec13003d019d0180141a				3=next = table[171], ip += 0x30 | 3=next = table[354], ip += 0x60	
hidden_span	hidden_span_of_17	80	target_only	target_only	-	-	171	static_validated	target_only_prefix_plus_tail	0x11	0x5	target_only_static_ip_advance	0xc	tail_ip_add@0x89204	ef7c8a579607:12:113547ba55;79fccd229033:3:1584be1a3e;4d31437db697:1:1a11005d56;dc4abed0b367:1:48bb51538d	52a76660708f:12:216be8e933008000ab00e801;16d78a9bc91f:3:5b4202de36008000e801ab00;740b868e17b8:1:0d4376600d008000e801ab00;9bb760222806:1:5b5647601a008000e801ab00	12:+0x4:51,+0x6:128,+0x8:171*;3:+0x4:54,+0x6:128,+0xa:171*;1:+0x4:13,+0x6:128,+0xa:171*;1:+0x4:26,+0x6:128,+0xa:171*	17	4	4	4	4	17	171:17	80:17	+0x11:17	b0=enum3(0x11:12,0x15:3,0x1a:1);b1=enum3(0x35:12,0x84:3,0x11:1);b2=enum3(0x47:12,0xbe:3,0x00:1);b3=enum3(0xba:12,0x1a:3,0x5d:1);b4=enum3(0x55:12,0x3e:3,0x56:1);b5=enum3(0x21:12,0x5b:4,0x0d:1);b6=enum3(0x6b:12,0x42:3,0x43:1);b7=enum3(0xe8:12,0x02:3,0x76:1);b8=enum3(0xe9:12,0xde:3,0x60:2);b9=enum3(0x33:12,0x36:3,0x0d:1);b10=0x00;b11=0x80;b12=0x00;b13=enum2(0xab:12,0xe8:5);b14=enum2(0x00:12,0x01:5);b15=enum2(0xe8:12,0xab:5);...1 omitted	384ae1a71382:12:113547ba55216be8e933008000ab00e801;031f2726d92c:3:1584be1a3e5b4202de36008000e801ab00;e12a5464f534:1:1a11005d560d4376600d008000e801ab00;68799cea57d3:1:48bb51538d5b5647601a008000e801ab00	0x88d7d: state xor= state0 ^ flags0 ^ 0x5d998d49 | 0x88da8: state and= state0 ^ flags0 ^ 0x5d998d49 & 0x4500f854 | 0x88ddc: state xor= state0 ^ flags0 ^ 0x5d998d49 & 0x4500f854 ...				
hidden_span	hidden_span_of_22	210	sampled_only	sampled_long_or_sparse	+0x30	sampled	340	static_validated	known_prefix_plus_tail	0x16	0xb	long_branch_operand	0xb		9791338fad96:17:ab000000300000003d0122	dcae7c585625:17:1a75809d019cc83d011300	17:+0x7:317,+0x9:19	17	1	1	1	0	0	340:17		+0x16:17	b0=0xab;b1=0x00;b2=0x00;b3=0x00;b4=0x30;b5=0x00;b6=0x00;b7=0x00;b8=0x3d;b9=0x01;b10=0x22;b11=0x1a;b12=0x75;b13=0x80;b14=0x9d;b15=0x01;...6 omitted	1122aa10c1db:17:ab000000300000003d01221a75809d019cc83d011300				3=next = table[171], ip += 0x30 | 3=next = table[354], ip += 0x60	
