source_entry	synthetic_start_vm_ip	missing_successor_vm_ip	gap_bytes	footprint_len	span_semantic_gap_class	span_source_observation	sampled_candidate_rows	sampled_target_entries	sampled_deltas	sampled_operand_byte_exact_matches	dynamic_next_source_entry	dynamic_next_source_start_vm_ip	dynamic_next_end_vm_ip	dynamic_next_delta	dynamic_next_matches_sampled_target	dynamic_next_delta_matches_sampled_delta	table_memory_region	table_memory_qword_class	sampled_correlation_class	sampled_variants_for_source
195	0x2304b8	0x2304be	7b4d04008000	0x6	operand_footprint_only	sampled_backedge	3	310:2,86:1	-0x2306:1,-0x542a:1,-0x8c8e:1	-	169	0xd100c	0xd1010	-0x15f4ac	no	no	after_dispatch_table	non_pointer_bytes	sequence_only_no_sampled_target_match	86:-0x2306:7e5606008000:1,310:-0x542a:517c07008000:1,310:-0x8c8e:ad7e07008000:1
195	0x231b74	0x231b7a	c6f105008000	0x6	operand_footprint_only	sampled_backedge	3	310:2,86:1	-0x2306:1,-0x542a:1,-0x8c8e:1	-	169	0x121c8d	0x121c91	-0x10fee7	no	no	after_dispatch_table	non_pointer_bytes	sequence_only_no_sampled_target_match	86:-0x2306:7e5606008000:1,310:-0x542a:517c07008000:1,310:-0x8c8e:ad7e07008000:1
299	0x24bd2a	0x24bd30	533f06008000	0x6	operand_footprint_only	sampled_backedge	2	169:1,310:1	-0x7fe6:1,-0xcf8b:1	-	86	0x11ac5a	0x11ac5e	-0x1310d0	no	no	after_dispatch_table	non_pointer_bytes	sequence_only_no_sampled_target_match	169:-0x7fe6:795007008000:1,310:-0xcf8b:f68107008000:1
195	0x31f2b1	0x31f2b7	3f3c07008000	0x6	operand_footprint_only	sampled_backedge	3	310:2,86:1	-0x2306:1,-0x542a:1,-0x8c8e:1	-	169	0x11d925	0x11d929	-0x20198c	no	no	after_dispatch_table	non_pointer_bytes	sequence_only_no_sampled_target_match	86:-0x2306:7e5606008000:1,310:-0x542a:517c07008000:1,310:-0x8c8e:ad7e07008000:1
195	0x333bc9	0x333bcf	d84807008000	0x6	operand_footprint_only	sampled_backedge	3	310:2,86:1	-0x2306:1,-0x542a:1,-0x8c8e:1	-	169	0x31e249	0x31e24d	-0x15980	no	no	after_dispatch_table	non_pointer_bytes	sequence_only_no_sampled_target_match	86:-0x2306:7e5606008000:1,310:-0x542a:517c07008000:1,310:-0x8c8e:ad7e07008000:1
299	0x33710f	0x337115	3d4b07008000	0x6	operand_footprint_only	sampled_backedge	2	169:1,310:1	-0x7fe6:1,-0xcf8b:1	-	310	0x31e05c	0x31e060	-0x190b3	yes	no	after_dispatch_table	non_pointer_bytes	sampled_target_match_delta_mismatch	169:-0x7fe6:795007008000:1,310:-0xcf8b:f68107008000:1
299	0x33a6cc	0x33a6d2	924d07008000	0x6	operand_footprint_only	sampled_backedge	2	169:1,310:1	-0x7fe6:1,-0xcf8b:1	-	169	0x31e436	0x31e43a	-0x1c296	yes	no	after_dispatch_table	non_pointer_bytes	sampled_target_match_delta_mismatch	169:-0x7fe6:795007008000:1,310:-0xcf8b:f68107008000:1
195	0x33d2d9	0x33d2df	884f07008000	0x6	operand_footprint_only	sampled_backedge	3	310:2,86:1	-0x2306:1,-0x542a:1,-0x8c8e:1	-	169	0x31e623	0x31e627	-0x1ecb6	no	no	after_dispatch_table	non_pointer_bytes	sequence_only_no_sampled_target_match	86:-0x2306:7e5606008000:1,310:-0x542a:517c07008000:1,310:-0x8c8e:ad7e07008000:1
175	0x34556c	0x345572	515b07008000	0x6	operand_footprint_only	central_or_long	1	310:1	+0x2cef7:1	-	169	0x11db12	0x11db16	-0x227a5a	no	no	after_dispatch_table	non_pointer_bytes	sequence_only_no_sampled_target_match	310:+0x2cef7:513307008000:1
195	0x3655e4	0x3655ea	bd7907008000	0x6	operand_footprint_only	sampled_backedge	3	310:2,86:1	-0x2306:1,-0x542a:1,-0x8c8e:1	-	310	0x11dcff	0x11dd03	-0x2478e5	yes	no	after_dispatch_table	non_pointer_bytes	sampled_target_match_delta_mismatch	86:-0x2306:7e5606008000:1,310:-0x542a:517c07008000:1,310:-0x8c8e:ad7e07008000:1
