chain_start_vm_ip	step_index	step_vm_ip	step_source_entry	step_role	first_hop_kind	first_hop_target_entry	first_hop_slot_offset	first_hop_vm_ip	following_residual_start	transfer_classification	transfer_zero_seed_status	transfer_ip_expr	transfer_slot_expr	table_diagnosis	table_offset	table_entry	table_alignment	table_region	table_qword_class	runtime_matches_file	runtime_qword_class	sampled_correlation_class	sampled_target_entries	dynamic_next_source_entry	dynamic_next_source_start_vm_ip	dynamic_next_end_vm_ip	slot_target_relation	reconciliation_class
0x12906f	0	0x12906f	278	residual_chain_step	tail	123	0x3d8	0x17452a	0x17452e	symbolic_slot_expr	unknown_target	0x5	(mask32((mask32(u16_2 - (mask32(state0 | flags0)))) + 0x68baea26)) & 0xffff	misaligned_or_non_qword_table_read	0xea3c	7495	4	after_dispatch_table	non_pointer_bytes	yes	non_pointer_bytes	sequence_only_no_sampled_target_match	323:1,86:1	310	0x172d62	0x172d66	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0x12906f	1	0x17452e	299	residual_chain_step	tail	174	0x570	0x122e38	0x122e3c	symbolic_slot_expr	unknown_target	0x4	(mask32(u16_2 - (mask32((mask32((mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)) - (mask32((mask32(u16_0 + (mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)))) + flags0)))) | (mask32(flags0 & 0x1011ba33)))))) & 0xffff	misaligned_or_non_qword_table_read	0x8144	4136	4	after_dispatch_table	non_pointer_bytes	yes	non_pointer_bytes	sampled_target_match_delta_mismatch	169:1,310:1	310	0x2bff9a	0x2bff9e	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0x12906f	2	0x122e3c	299	context_reentry_terminal_step	tail	165	0x528	0x2c0468		symbolic_slot_expr	unknown_target	0x4	(mask32(u16_2 - (mask32((mask32((mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)) - (mask32((mask32(u16_0 + (mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)))) + flags0)))) | (mask32(flags0 & 0x1011ba33)))))) & 0xffff	misaligned_or_non_qword_table_read	0xd9cf	6969	7	after_dispatch_table	non_pointer_bytes	yes	non_pointer_bytes	sampled_target_match_delta_mismatch	169:1,310:1	169	0x2c0464	0x2c0468	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0x17452e	0	0x17452e	299	residual_chain_step	tail	174	0x570	0x122e38	0x122e3c	symbolic_slot_expr	unknown_target	0x4	(mask32(u16_2 - (mask32((mask32((mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)) - (mask32((mask32(u16_0 + (mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)))) + flags0)))) | (mask32(flags0 & 0x1011ba33)))))) & 0xffff	misaligned_or_non_qword_table_read	0x8144	4136	4	after_dispatch_table	non_pointer_bytes	yes	non_pointer_bytes	sampled_target_match_delta_mismatch	169:1,310:1	310	0x2bff9a	0x2bff9e	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0x17452e	1	0x122e3c	299	context_reentry_terminal_step	tail	165	0x528	0x2c0468		symbolic_slot_expr	unknown_target	0x4	(mask32(u16_2 - (mask32((mask32((mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)) - (mask32((mask32(u16_0 + (mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)))) + flags0)))) | (mask32(flags0 & 0x1011ba33)))))) & 0xffff	misaligned_or_non_qword_table_read	0xd9cf	6969	7	after_dispatch_table	non_pointer_bytes	yes	non_pointer_bytes	sampled_target_match_delta_mismatch	169:1,310:1	169	0x2c0464	0x2c0468	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0x17a420	0	0x17a420	175	residual_chain_step	tail	174	0x570	0x231b70	0x231b74	symbolic_slot_expr	unknown_target	0x4	(mask32((mask32(u16_2 - (mask32((mask32((mask32(state0 & flags0)) & 0x2c46ace3)) | flags0)))) ^ 0x37839d72)) & 0xffff	misaligned_or_non_qword_table_read	0xc62	396	2	after_dispatch_table	non_pointer_bytes	yes	non_pointer_bytes	sequence_only_no_sampled_target_match	310:1	169	0x120afe	0x120b02	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0x17a420	1	0x231b74	195	residual_chain_step	tail	161	0x508	0x1ed47f	0x1ed483	symbolic_slot_expr	unknown_target	0x4	(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb	table_index_out_of_range	0x69c0	3384	0	after_dispatch_table	non_pointer_bytes	yes	non_pointer_bytes	sequence_only_no_sampled_target_match	310:2,86:1	169	0x121c8d	0x121c91	table_offset_oob_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0x17a420	2	0x1ed483	195	residual_chain_step	tail	174	0x570	0x1a603d	0x1a6041	symbolic_slot_expr	unknown_target	0x4	(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb	misaligned_or_non_qword_table_read	0x40be	2071	6	after_dispatch_table	low32_text_offset	yes	low32_text_offset	sampled_target_match_delta_mismatch	310:2,86:1	310	0x121ed0	0x121ed4	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0x17a420	3	0x1a6041	175	residual_chain_step	tail	174	0x570	0x12906b	0x12906f	symbolic_slot_expr	unknown_target	0x4	(mask32((mask32(u16_2 - (mask32((mask32((mask32(state0 & flags0)) & 0x2c46ace3)) | flags0)))) ^ 0x37839d72)) & 0xffff	misaligned_or_non_qword_table_read	0xe281	7248	1	after_dispatch_table	non_pointer_bytes	yes	non_pointer_bytes	sequence_only_no_sampled_target_match	310:1	169	0x1221a0	0x1221a4	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0x17a420	4	0x12906f	278	residual_chain_step	tail	123	0x3d8	0x17452a	0x17452e	symbolic_slot_expr	unknown_target	0x5	(mask32((mask32(u16_2 - (mask32(state0 | flags0)))) + 0x68baea26)) & 0xffff	misaligned_or_non_qword_table_read	0xea3c	7495	4	after_dispatch_table	non_pointer_bytes	yes	non_pointer_bytes	sequence_only_no_sampled_target_match	323:1,86:1	310	0x172d62	0x172d66	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0x17a420	5	0x17452e	299	residual_chain_step	tail	174	0x570	0x122e38	0x122e3c	symbolic_slot_expr	unknown_target	0x4	(mask32(u16_2 - (mask32((mask32((mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)) - (mask32((mask32(u16_0 + (mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)))) + flags0)))) | (mask32(flags0 & 0x1011ba33)))))) & 0xffff	misaligned_or_non_qword_table_read	0x8144	4136	4	after_dispatch_table	non_pointer_bytes	yes	non_pointer_bytes	sampled_target_match_delta_mismatch	169:1,310:1	310	0x2bff9a	0x2bff9e	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0x17a420	6	0x122e3c	299	context_reentry_terminal_step	tail	165	0x528	0x2c0468		symbolic_slot_expr	unknown_target	0x4	(mask32(u16_2 - (mask32((mask32((mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)) - (mask32((mask32(u16_0 + (mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)))) + flags0)))) | (mask32(flags0 & 0x1011ba33)))))) & 0xffff	misaligned_or_non_qword_table_read	0xd9cf	6969	7	after_dispatch_table	non_pointer_bytes	yes	non_pointer_bytes	sampled_target_match_delta_mismatch	169:1,310:1	169	0x2c0464	0x2c0468	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0x1a6041	0	0x1a6041	175	residual_chain_step	tail	174	0x570	0x12906b	0x12906f	symbolic_slot_expr	unknown_target	0x4	(mask32((mask32(u16_2 - (mask32((mask32((mask32(state0 & flags0)) & 0x2c46ace3)) | flags0)))) ^ 0x37839d72)) & 0xffff	misaligned_or_non_qword_table_read	0xe281	7248	1	after_dispatch_table	non_pointer_bytes	yes	non_pointer_bytes	sequence_only_no_sampled_target_match	310:1	169	0x1221a0	0x1221a4	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0x1a6041	1	0x12906f	278	residual_chain_step	tail	123	0x3d8	0x17452a	0x17452e	symbolic_slot_expr	unknown_target	0x5	(mask32((mask32(u16_2 - (mask32(state0 | flags0)))) + 0x68baea26)) & 0xffff	misaligned_or_non_qword_table_read	0xea3c	7495	4	after_dispatch_table	non_pointer_bytes	yes	non_pointer_bytes	sequence_only_no_sampled_target_match	323:1,86:1	310	0x172d62	0x172d66	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0x1a6041	2	0x17452e	299	residual_chain_step	tail	174	0x570	0x122e38	0x122e3c	symbolic_slot_expr	unknown_target	0x4	(mask32(u16_2 - (mask32((mask32((mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)) - (mask32((mask32(u16_0 + (mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)))) + flags0)))) | (mask32(flags0 & 0x1011ba33)))))) & 0xffff	misaligned_or_non_qword_table_read	0x8144	4136	4	after_dispatch_table	non_pointer_bytes	yes	non_pointer_bytes	sampled_target_match_delta_mismatch	169:1,310:1	310	0x2bff9a	0x2bff9e	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0x1a6041	3	0x122e3c	299	context_reentry_terminal_step	tail	165	0x528	0x2c0468		symbolic_slot_expr	unknown_target	0x4	(mask32(u16_2 - (mask32((mask32((mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)) - (mask32((mask32(u16_0 + (mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)))) + flags0)))) | (mask32(flags0 & 0x1011ba33)))))) & 0xffff	misaligned_or_non_qword_table_read	0xd9cf	6969	7	after_dispatch_table	non_pointer_bytes	yes	non_pointer_bytes	sampled_target_match_delta_mismatch	169:1,310:1	169	0x2c0464	0x2c0468	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0x1ed483	0	0x1ed483	195	residual_chain_step	tail	174	0x570	0x1a603d	0x1a6041	symbolic_slot_expr	unknown_target	0x4	(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb	misaligned_or_non_qword_table_read	0x40be	2071	6	after_dispatch_table	low32_text_offset	yes	low32_text_offset	sampled_target_match_delta_mismatch	310:2,86:1	310	0x121ed0	0x121ed4	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0x1ed483	1	0x1a6041	175	residual_chain_step	tail	174	0x570	0x12906b	0x12906f	symbolic_slot_expr	unknown_target	0x4	(mask32((mask32(u16_2 - (mask32((mask32((mask32(state0 & flags0)) & 0x2c46ace3)) | flags0)))) ^ 0x37839d72)) & 0xffff	misaligned_or_non_qword_table_read	0xe281	7248	1	after_dispatch_table	non_pointer_bytes	yes	non_pointer_bytes	sequence_only_no_sampled_target_match	310:1	169	0x1221a0	0x1221a4	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0x1ed483	2	0x12906f	278	residual_chain_step	tail	123	0x3d8	0x17452a	0x17452e	symbolic_slot_expr	unknown_target	0x5	(mask32((mask32(u16_2 - (mask32(state0 | flags0)))) + 0x68baea26)) & 0xffff	misaligned_or_non_qword_table_read	0xea3c	7495	4	after_dispatch_table	non_pointer_bytes	yes	non_pointer_bytes	sequence_only_no_sampled_target_match	323:1,86:1	310	0x172d62	0x172d66	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0x1ed483	3	0x17452e	299	residual_chain_step	tail	174	0x570	0x122e38	0x122e3c	symbolic_slot_expr	unknown_target	0x4	(mask32(u16_2 - (mask32((mask32((mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)) - (mask32((mask32(u16_0 + (mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)))) + flags0)))) | (mask32(flags0 & 0x1011ba33)))))) & 0xffff	misaligned_or_non_qword_table_read	0x8144	4136	4	after_dispatch_table	non_pointer_bytes	yes	non_pointer_bytes	sampled_target_match_delta_mismatch	169:1,310:1	310	0x2bff9a	0x2bff9e	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0x1ed483	4	0x122e3c	299	context_reentry_terminal_step	tail	165	0x528	0x2c0468		symbolic_slot_expr	unknown_target	0x4	(mask32(u16_2 - (mask32((mask32((mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)) - (mask32((mask32(u16_0 + (mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)))) + flags0)))) | (mask32(flags0 & 0x1011ba33)))))) & 0xffff	misaligned_or_non_qword_table_read	0xd9cf	6969	7	after_dispatch_table	non_pointer_bytes	yes	non_pointer_bytes	sampled_target_match_delta_mismatch	169:1,310:1	169	0x2c0464	0x2c0468	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0x2304b8	0	0x2304b8	195	residual_chain_step	tail	158	0x4f0	0xd1441	0xd1445	symbolic_slot_expr	unknown_target	0x4	(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb	table_index_out_of_range	0x71e0	3644	0	after_dispatch_table	non_pointer_bytes	yes	non_pointer_bytes	sequence_only_no_sampled_target_match	310:2,86:1	169	0xd100c	0xd1010	table_offset_oob_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0x2304b8	1	0xd1445	175	residual_chain_step	tail	123	0x3d8	0xd5eb8	0xd5ebc	symbolic_slot_expr	unknown_target	0x4	(mask32((mask32(u16_2 - (mask32((mask32((mask32(state0 & flags0)) & 0x2c46ace3)) | flags0)))) ^ 0x37839d72)) & 0xffff	table_index_out_of_range	0x4388	2161	0	after_dispatch_table	non_pointer_bytes	yes	non_pointer_bytes	sampled_target_match_delta_mismatch	310:1	310	0xd4893	0xd4897	table_offset_oob_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0x2304b8	2	0xd5ebc	195	residual_chain_step	tail	184	0x5c0	0xdaf35	0xdaf39	symbolic_slot_expr	unknown_target	0x4	(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb	misaligned_or_non_qword_table_read	0x49bd	2359	5	after_dispatch_table	non_pointer_bytes	yes	non_pointer_bytes	sequence_only_no_sampled_target_match	310:2,86:1	169	0x18bd96	0x18bd9a	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
0x2304b8	3	0xdaf39	195	residual_chain_step	tail	184	0x5c0	0x18c463	0x18c467	symbolic_slot_expr	unknown_target	0x4	(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb	misaligned_or_non_qword_table_read	0x1be	55	6	inside_dispatch_table_unaligned	non_pointer_bytes	no	non_pointer_bytes	sampled_target_match_delta_mismatch	310:2,86:1	310	0x18c084	0x18c088	table_offset_misaligned_vs_first_hop_slot	table_read_rejects_focused_first_hop_as_direct_slot
