target	section	classification	priority	edge_count	edge_kind_mix	source_mix	relation_mix	window_mix	note
0x31739	.text	local_retpatch_window_branch	covered_by_source_window	1	jump:1	entry_175:1	inside_retpatch_window:1	175@0x17a420:0x31703-0x31783:1	Direct branch target stays inside an already-rendered native ret-patch disassembly window.
0x339f0	.text	local_retpatch_window_branch	covered_by_source_window	1	jump:1	entry_175:1	inside_retpatch_window:1	175@0x1a6041:0x339bd-0x33a3d:1	Direct branch target stays inside an already-rendered native ret-patch disassembly window.
0x37b2f	.text	local_retpatch_window_branch	covered_by_source_window	1	jump:1	entry_195:1	inside_retpatch_window:1	195@0x1ed483:0x37af9-0x37b79:1	Direct branch target stays inside an already-rendered native ret-patch disassembly window.
0x5f221	.text	local_retpatch_window_branch	covered_by_source_window	1	jump:1	entry_195:1	inside_retpatch_window:1	195@0x231b74:0x5f1c6-0x5f246:1	Direct branch target stays inside an already-rendered native ret-patch disassembly window.
0x5f23d	.text	local_retpatch_window_branch	covered_by_source_window	1	jump:1	entry_195:1	inside_retpatch_window:1	195@0x231b74:0x5f1c6-0x5f246:1	Direct branch target stays inside an already-rendered native ret-patch disassembly window.
0x5f24b	.text	post_window_adjacent_branch	covered_by_source_window	1	jump:1	entry_195:1	post_window_adjacent:1	195@0x231b74:0x5f1c6-0x5f246:1	Direct branch lands just after the bounded window; keep with the local native epilogue/adjacent-helper evidence.
0x5f259	.text	post_window_adjacent_branch	covered_by_source_window	1	jump:1	entry_195:1	post_window_adjacent:1	195@0x231b74:0x5f1c6-0x5f246:1	Direct branch lands just after the bounded window; keep with the local native epilogue/adjacent-helper evidence.
0x6c064	.text	local_retpatch_window_branch	covered_by_source_window	1	jump:1	entry_278:1	inside_retpatch_window:1	278@0x12906f:0x6c010-0x6c090:1	Direct branch target stays inside an already-rendered native ret-patch disassembly window.
0x6c0be	.text	post_window_adjacent_branch	covered_by_source_window	1	jump:1	entry_278:1	post_window_adjacent:1	278@0x12906f:0x6c010-0x6c090:1	Direct branch lands just after the bounded window; keep with the local native epilogue/adjacent-helper evidence.
0x7260a	.text	internal_helper_chain	bounded_targeted_retdec_candidate	1	jump:1	entry_195:1	outside_retpatch_window:1	195@0x1ed483:0x37af9-0x37b79:1	Small helper calls the nearby 0x72588 routine and tail-transfers onward; it is native control, not a VM dispatch edge.
0x729b6	.text	pthread_mutex_lock_store_helper	native_semantics_recovered	1	call:1	entry_299:1	outside_retpatch_window:1	299@0x122e3c:0x2d409-0x2d489:1	Tiny helper stores rsi through rdi, moves rsi to rdi, then tail-jumps to pthread_mutex_lock@plt.
0x74910	.text	local_retpatch_window_branch	covered_by_source_window	1	jump:1	entry_195:1	inside_retpatch_window:1	195@0x333bc9:0x748d8-0x74958:1	Direct branch target stays inside an already-rendered native ret-patch disassembly window.
0x74b75	.text	local_retpatch_window_branch	covered_by_source_window	1	jump:1	entry_299:1	inside_retpatch_window:1	299@0x33710f:0x74b3d-0x74bbd:1	Direct branch target stays inside an already-rendered native ret-patch disassembly window.
0x74c0e	.text	post_window_adjacent_branch	covered_by_source_window	1	jump:1	entry_299:1	post_window_adjacent:1	299@0x33710f:0x74b3d-0x74bbd:1	Direct branch lands just after the bounded window; keep with the local native epilogue/adjacent-helper evidence.
0x74fbd	.text	local_retpatch_window_branch	covered_by_source_window	1	jump:1	entry_195:1	inside_retpatch_window:1	195@0x33d2d9:0x74f88-0x75008:1	Direct branch target stays inside an already-rendered native ret-patch disassembly window.
0x779f3	.text	local_retpatch_window_branch	covered_by_source_window	1	jump:1	entry_195:1	inside_retpatch_window:1	195@0x3655e4:0x779bd-0x77a3d:1	Direct branch target stays inside an already-rendered native ret-patch disassembly window.
0x77a5d	.text	post_window_adjacent_branch	covered_by_source_window	1	jump:1	entry_195:1	post_window_adjacent:1	195@0x3655e4:0x779bd-0x77a3d:1	Direct branch lands just after the bounded window; keep with the local native epilogue/adjacent-helper evidence.
0xe0017	.text	obfuscated_native_island	obfuscation_island_candidate	1	jump:1	entry_195:1	outside_retpatch_window:1	195@0xdaf39:0x230d4-0x23154:1	Native obfuscation island with flag/stack gymnastics; reached from the 0x23122 helper path.
0x17bf1f	.text	obfuscated_native_island	obfuscation_island_candidate	1	jump:1	entry_299:1	outside_retpatch_window:1	299@0x17452e:0x313eb-0x3146b:1	Native obfuscation island reached by source 299 ret-patch follow-up control.
0x231586	.text	obfuscated_native_island	obfuscation_island_candidate	1	jump:1	entry_195:1	outside_retpatch_window:1	195@0x2304b8:0x44d7b-0x44dfb:1	Native obfuscation island reached by a source 195 ret-patch target window.
0x2d2cf4	.text	source278_downstream_retdec_covered	covered_by_source278_retdec	1	jump:1	entry_278:1	outside_retpatch_window:1	278@0x12906f:0x6c010-0x6c090:1	Downstream native target already represented in the source278 targeted RetDec sidecar.
0x337d35	.text	obfuscated_native_island	obfuscation_island_candidate	1	jump:1	entry_195:1	outside_retpatch_window:1	195@0x333bc9:0x748d8-0x74958:1	Native obfuscation island reached by a source 195 ret-patch target window.
0x33b4b6	.text	obfuscated_native_island	obfuscation_island_candidate	1	jump:1	entry_299:1	outside_retpatch_window:1	299@0x33710f:0x74b3d-0x74bbd:1	Native obfuscation island reached by source 299 ret-patch follow-up control.
0x33f109	.text	obfuscated_native_island	obfuscation_island_candidate	1	jump:1	entry_195:1	outside_retpatch_window:1	195@0x33d2d9:0x74f88-0x75008:1	Native obfuscation island reached by a source 195 ret-patch target window.
0x36afd2	.text	obfuscated_native_island	obfuscation_island_candidate	1	jump:1	entry_195:1	outside_retpatch_window:1	195@0x3655e4:0x779bd-0x77a3d:1	Native obfuscation island reached by a source 195 ret-patch target window.
0x48eb2b	.text	internal_large_string_state_helper	targeted_retdec_candidate	1	call:1	entry_175:1	outside_retpatch_window:1	175@0x17a420:0x31703-0x31783:1	Large function-shaped helper with string references and allocator/helper calls; worth a narrow decompiler pass, not a broad sweep.
0x4eeb30	.text	allocator_free_wrapper	native_semantics_recovered	1	jump:1	entry_195:1	outside_retpatch_window:1	195@0x231b74:0x5f1c6-0x5f246:1	Allocator/free wrapper family target; observed as native cleanup control rather than bytecode CFG.
0x4eeb50	.text	allocator_free_wrapper	native_semantics_recovered	1	jump:1	entry_195:1	outside_retpatch_window:1	195@0x231b74:0x5f1c6-0x5f246:1	Allocator/free wrapper family target; observed as native cleanup control rather than bytecode CFG.
