source_entry	synthetic_start_vm_ip	missing_successor_vm_ip	focused_direct_promotion_candidate	chain_terminal	chain_path	chain_length	first_hop_kind	first_hop_vm_ip	first_hop_delta	first_hop_target_entry	following_residual_start	terminal_start_vm_ip	terminal_bridge_kind	terminal_dest_vm_ip	terminal_dest_block	terminal_dest_entry	primary_dynamic_next_source_entry	primary_dynamic_next_source_start_vm_ip	primary_dynamic_next_end_vm_ip	primary_dynamic_dest_block	primary_vs_focused_first_hop	observed_chain_bridge_class	bridge_action	promotion_blocker
195	0x2304b8	0x2304be	no	focused_direct_promoted	0x2304b8 -> 0xd1445 -> 0xd5ebc -> 0xdaf39 -> 0x18c467	5	tail	0xd1441	-0x15f077	158	0xd1445	0x18c467	sequence	0x334a3d	293	42	169	0xd100c	0xd1010	prog_bb_0005	focused_first_hop_differs_from_primary_next_hook	sequence_chain_to_focused_direct_bridge	disabled_observed_chain_bridge	chains into a focused direct bridge but the first hop is an indirect tail-site sequence
195	0x231b74	0x231b7a	no	raw_sequence_no_residual_successor	0x231b74 -> 0x1ed483 -> 0x1a6041 -> 0x12906f -> 0x17452e -> 0x122e3c	6	tail	0x1ed47f	-0x446f5	161	0x1ed483	0x122e3c	sequence	0x2c0468	214	165	169	0x121c8d	0x121c91	prog_bb_0081	focused_first_hop_differs_from_primary_next_hook	sequence_chain_to_recovered_context_reentry	disabled_observed_chain_bridge	sequence-only indirect tail evidence
299	0x24bd2a	0x24bd30	yes	focused_direct_promoted	0x24bd2a	1	dispatch	0x26cd71	+0x21047	86		0x24bd2a	direct	0x26cd71	190	86	86	0x11ac5a	0x11ac5e	prog_bb_0029	focused_first_hop_differs_from_primary_next_hook	hard_focused_direct_bridge_already_promoted	hard_cfg	-
195	0x31f2b1	0x31f2b7	yes	focused_direct_promoted	0x31f2b1	1	dispatch	0x33f278	+0x1ffc7	323		0x31f2b1	direct	0x33f278	340	323	169	0x11d925	0x11d929	prog_bb_0052	focused_first_hop_differs_from_primary_next_hook	hard_focused_direct_bridge_already_promoted	hard_cfg	-
195	0x333bc9	0x333bcf	no	focused_direct_promoted	0x333bc9 -> 0x33a6cc	2	tail	0x33a6c8	+0x6aff	176	0x33a6cc	0x33a6cc	sequence	0x33b647	324	42	169	0x31e249	0x31e24d	prog_bb_0261	focused_first_hop_differs_from_primary_next_hook	sequence_chain_to_focused_direct_bridge	disabled_observed_chain_bridge	chains into a focused direct bridge but the first hop is an indirect tail-site sequence
299	0x33710f	0x337115	no	focused_direct_promoted	0x33710f -> 0x333bc9 -> 0x33a6cc	3	tail	0x333bc5	-0x354a	174	0x333bc9	0x33a6cc	sequence	0x33b647	324	42	310	0x31e05c	0x31e060	prog_bb_0259	focused_first_hop_differs_from_primary_next_hook	sequence_chain_to_focused_direct_bridge	disabled_observed_chain_bridge	chains into a focused direct bridge but the first hop is an indirect tail-site sequence
299	0x33a6cc	0x33a6d2	yes	focused_direct_promoted	0x33a6cc	1	dispatch	0x33b647	+0xf7b	42		0x33a6cc	direct	0x33b647	324	42	169	0x31e436	0x31e43a	prog_bb_0263	focused_first_hop_differs_from_primary_next_hook	hard_focused_direct_bridge_already_promoted	hard_cfg	-
195	0x33d2d9	0x33d2df	no	focused_direct_promoted	0x33d2d9 -> 0x31f2b1	2	tail	0x31f2ad	-0x1e02c	184	0x31f2b1	0x31f2b1	sequence	0x33f278	340	323	169	0x31e623	0x31e627	prog_bb_0265	focused_first_hop_differs_from_primary_next_hook	sequence_chain_to_focused_direct_bridge	disabled_observed_chain_bridge	chains into a focused direct bridge but the first hop is an indirect tail-site sequence
175	0x34556c	0x345572	yes	focused_direct_promoted	0x34556c	1	dispatch	0x3603af	+0x1ae43	86		0x34556c	direct	0x3603af	385	86	169	0x11db12	0x11db16	prog_bb_0054	focused_first_hop_differs_from_primary_next_hook	hard_focused_direct_bridge_already_promoted	hard_cfg	-
195	0x3655e4	0x3655ea	no	raw_sequence_no_residual_successor	0x3655e4 -> 0x17a420 -> 0x231b74 -> 0x1ed483 -> 0x1a6041 -> 0x12906f -> 0x17452e -> 0x122e3c	8	tail	0x17a41c	-0x1eb1c8	161	0x17a420	0x122e3c	sequence	0x2c0468	214	165	310	0x11dcff	0x11dd03	prog_bb_0056	focused_first_hop_differs_from_primary_next_hook	sequence_chain_to_recovered_context_reentry	disabled_observed_chain_bridge	sequence-only indirect tail evidence
