program	first_seen_rank	first_vm_ip	behavior_tags	behavior_confidence	exact_vm_ref_count	exact_side_effect_categories	role_mix	top_strings	runtime_native_binding	provenance	next_action
044	28	0x31ea5c	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
045	29	0x31eae4	threading_sync	low_to_medium	1	threading_sync:1	threading_import_symbol:1	pthread_cond_wait	not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	reduce opcode/dataflow around referenced site and native bridge target
046	23	0x33170b	cxx_runtime	medium	2	cxx_runtime:1,locale_i18n:1	gnu_transactional_memory_runtime_symbol:1,locale_runtime_symbol:1	_ITM_registerTMCloneTable || __freelocale	not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	reduce opcode/dataflow around referenced site and native bridge target
047	24	0x333882	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
048	19	0x334a3d	cxx_runtime	medium	3	cxx_runtime:1,locale_i18n:1,compiler_metadata:1	gnu_transactional_memory_runtime_symbol:1,locale_runtime_symbol:1,compiler_type_name:1	_ITM_registerTMCloneTable || __freelocale || long double	not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	reduce opcode/dataflow around referenced site and native bridge target
049	22	0x336dc8	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
050	25	0x337e84	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
051	26	0x33a385	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
052	27	0x33b647	tls_or_ssl;host_environment	medium	2	tls_or_ssl:1,host_environment_inventory:1	tls_protocol_message:1,libc_version_requirement:1	dropping unexpected ChangeCipherSpec || GLIBC_2.17	not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	reduce opcode/dataflow around referenced site and native bridge target
053	20	0x33db28	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
054	21	0x33e889	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
055	30	0x33f278	tls_or_ssl;threading_sync;host_environment;cxx_runtime	medium	18	cxx_runtime:7,locale_i18n:6,threading_sync:2,tls_or_ssl:1,process_or_shell:1,host_environment_inventory:1	gnu_transactional_memory_runtime_symbol:6,locale_runtime_symbol:6,threading_import_symbol:2,cxx_runtime_type_or_exception_text:1,tls_library_source_path:1,process_or_host_import_symbol:1	_ITM_registerTMCloneTable || __freelocale || NSt7__cxx118time_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEEE || _ITM_registerTMCloneTable || __freelocale || /home/richard/code/mbedtls/library/ssl_tls.c || pthread_cond_timedwait || _ITM_registerTMCloneTable	not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	reduce opcode/dataflow around referenced site and native bridge target
056	32	0x3603af	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
057	40	0x365458	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
058	41	0x3654e0	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
059	33	0x3674c3	cxx_runtime	medium	4	cxx_runtime:2,embedded_data_or_token:1,locale_i18n:1	embedded_token_or_encoded_blob:1,gnu_transactional_memory_runtime_symbol:1,locale_runtime_symbol:1,cxx_runtime_type_or_exception_text:1	QmK3TAsJm8V/J5AWpLEV6jAFgRGymGGHnof0DXzVWZidrcZJWTNuGEX90nB3ee2w || _ITM_registerTMCloneTable || __freelocale || basic_string::_S_construct null not valid	not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	reduce opcode/dataflow around referenced site and native bridge target
060	34	0x369ad3	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
061	35	0x36b124	cxx_runtime	medium	2	cxx_runtime:1,locale_i18n:1	gnu_transactional_memory_runtime_symbol:1,locale_runtime_symbol:1	_ITM_registerTMCloneTable || __freelocale	not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	reduce opcode/dataflow around referenced site and native bridge target
062	36	0x36d524	control_transfer_or_native_bridge_candidate	low_to_medium	1	unclassified_data:1	unclassified_data_string:1	:$23	not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	reduce opcode/dataflow around referenced site and native bridge target
063	37	0x36ecdc	tls_or_ssl;cxx_runtime;process_or_shell	medium	5	process_or_shell:1,host_environment_inventory:1,cxx_runtime:1,locale_i18n:1,tls_or_ssl:1	process_or_host_import_symbol:1,gnu_transactional_memory_runtime_symbol:1,locale_runtime_symbol:1,tls_protocol_message:1	pclose || _ITM_registerTMCloneTable || __freelocale || client hello, adding server name extension: %s	not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	reduce opcode/dataflow around referenced site and native bridge target
064	38	0x3716c7	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
065	39	0x3717c4	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
