trace_dir	trace_class	runtime_config	run_mode	driver_tail_limit	driver_tail_sites	driver_tail_regs	driver_tail_scratch	driver_tail_mem	driver_tail_focus_ips	driver_tail_focus_sites	driver_tail_stop_after_matches	driver_tail_trace	driver_scratch_offsets	driver_read_ranges	trace_cap_status	trace_rows	source_entries	target_entries	start_vm_ips	covered_byte_ranges	covered_bytes	exact_covered_bytes	segment_rows	segment_bytes	segment_conflict_offsets	source_entries_vs_primary	target_entries_vs_primary	start_vm_ips_vs_primary	source_entries_vs_union	target_entries_vs_union	start_vm_ips_vs_union	byte_statuses	kinds	top_sources	top_targets	env_flags	network_policy	network_events	network_denied_events	network_fake_events	network_hosts	network_callers	spawn_policy	spawn_events	spawn_denied_events	spawn_commands	has_run_stderr	origin_run_dir	path
dumps/vmtail-residual-122e3c-context	raw_dynamic_trace	x_mode_1	1	32	311	1	1	0	4	4	4	1	26	0	near_or_at_limit	3386	7	7	113	2	0xf82df	0x6				+0/-195	+0/-198	+0/-71409	7/205	7/205	113/71809	prefix_32_of_482:546,prefix_32_of_578:459,prefix_32_of_579:459,prefix_32_of_622:455,prefix_32_of_554:280,prefix_32_of_598:183,prefix_32_of_627:115,backedge_sample:95	dispatch:3384,tail:2	169:1778,310:1597,86:5,42:3,323:1,174:1,165:1	169:1778,310:1598,86:4,42:3,323:1,299:1,43:1	EAC_DISPATCH_DETAIL,EAC_DISPATCH_LIMIT,EAC_DISPATCH_TRACE,EAC_LAUNCHERDIR,EAC_VMTAIL_FOCUS_IPS,EAC_VMTAIL_FOCUS_SITES,EAC_VMTAIL_LIMIT,EAC_VMTAIL_REGS,EAC_VMTAIL_SCRATCH,EAC_VMTAIL_SITES,EAC_VMTAIL_STOP_AFTER_MATCHES,EAC_VMTAIL_TRACE	blocked_observed	2	2	0	api.epicgames.dev:1,datarouter.ol.epicgames.com:1	getaddrinfo@eac.elf+0x6b74f:2	blocked_observed	2	2	host -4 api.epicgames.dev:1,host -4 datarouter.ol.epicgames.com:1	1	dumps/vmtail-residual-122e3c-context	dumps/vmtail-residual-122e3c-context/vm_instruction_trace.tsv
dumps/vmtail-wide	raw_dynamic_trace	x_mode_1	1	250000	311	0	0	0				1			near_or_at_limit	249764	191	195	39725	43	0x22ed01	0x24948	292	0x24948	0	+0/-11	+0/-10	+0/-31797	191/205	195/205	39725/71809	exact:248299,backedge_sample:768,prefix_8_of_10:519,prefix_8_of_13:88,prefix_8_of_45:26,prefix_8_of_48:10,prefix_8_of_96:9,prefix_8_of_648:7	tail:249218,dispatch:546	258:9693,28:8348,347:8151,114:7722,340:7549,337:7502,189:7459,18:7392	258:9680,28:8347,347:8151,114:7715,340:7532,337:7502,189:7446,18:7377	EAC_DISPATCH_DETAIL,EAC_DISPATCH_LIMIT,EAC_DISPATCH_TRACE,EAC_DUMP_DIR,EAC_FAST_EXIT,EAC_LAUNCHERDIR,EAC_VMTAIL_LIMIT,EAC_VMTAIL_SITES,EAC_VMTAIL_TRACE	blocked_observed	2	2	0	api.epicgames.dev:1,datarouter.ol.epicgames.com:1	getaddrinfo@eac.elf+0x6b74f:2	blocked_observed	2	2	host -4 api.epicgames.dev:1,host -4 datarouter.ol.epicgames.com:1	1	dumps/vmtail-wide	dumps/vmtail-wide/vm_instruction_trace.tsv
dumps/vmtail-wide-1m	raw_dynamic_trace	x_mode_1	1	1000000	311	0	0	0				1			below_limit	769113	202	205	71510	81	0x259425	0x41d31	557	0x41d31	0	+0/-0	+0/-0	+0/-12	202/205	205/205	71510/71809	exact:764018,prefix_8_of_10:3275,backedge_sample:1157,prefix_8_of_45:182,prefix_8_of_13:169,prefix_8_of_313:125,prefix_8_of_34:26,prefix_8_of_677:25	tail:765729,dispatch:3384	258:28055,28:26605,337:26531,340:26110,18:25445,114:25296,189:25104,347:24294	258:28038,28:26603,337:26530,340:26088,18:25430,114:25248,189:25090,347:24267	EAC_DISPATCH_DETAIL,EAC_DISPATCH_LIMIT,EAC_DISPATCH_TRACE,EAC_DUMP_DIR,EAC_FAST_EXIT,EAC_LAUNCHERDIR,EAC_VMTAIL_LIMIT,EAC_VMTAIL_SITES,EAC_VMTAIL_TRACE	blocked_observed	2	2	0	api.epicgames.dev:1,datarouter.ol.epicgames.com:1	getaddrinfo@eac.elf+0x6b74f:2	blocked_observed	2	2	host -4 api.epicgames.dev:1,host -4 datarouter.ol.epicgames.com:1	1	dumps/vmtail-wide-1m	dumps/vmtail-wide-1m/vm_instruction_trace.tsv
dumps/vmtail-wide-1m-w16	raw_dynamic_trace	x_mode_1	1	1000000	311	0	0	0				1			below_limit	769225	202	205	71522	81	0x259425	0x421f3	337	0x42ddd	0	+0/-0	+0/-0	+0/-0	202/205	205/205	71522/71809	exact:767575,backedge_sample:1157,prefix_32_of_45:182,prefix_32_of_313:125,prefix_32_of_34:26,prefix_32_of_677:25,prefix_32_of_120:25,prefix_32_of_96:15	tail:765841,dispatch:3384	258:28058,28:26611,337:26534,340:26112,18:25449,114:25300,189:25114,347:24299	258:28041,28:26609,337:26533,340:26090,18:25434,114:25252,189:25099,347:24272	EAC_DISPATCH_DETAIL,EAC_DISPATCH_LIMIT,EAC_DISPATCH_TRACE,EAC_DUMP_DIR,EAC_FAST_EXIT,EAC_LAUNCHERDIR,EAC_VMTAIL_LIMIT,EAC_VMTAIL_SITES,EAC_VMTAIL_TRACE	blocked_observed	2	2	0	api.epicgames.dev:1,datarouter.ol.epicgames.com:1	getaddrinfo@eac.elf+0x6b74f:2	blocked_observed	2	2	host -4 api.epicgames.dev:1,host -4 datarouter.ol.epicgames.com:1	1	dumps/vmtail-wide-1m-w16	dumps/vmtail-wide-1m-w16/vm_instruction_trace.tsv
dumps/vmtail-wide-w16	raw_dynamic_trace	x_mode_1	1	250000	311	0	0	0				1			near_or_at_limit	249764	191	195	39725	43	0x22ed01	0x24c51	217	0x24c51	0	+0/-11	+0/-10	+0/-31797	191/205	195/205	39725/71809	exact:248906,backedge_sample:768,prefix_32_of_45:26,prefix_32_of_48:10,prefix_32_of_96:9,prefix_32_of_648:7,prefix_32_of_651:6,prefix_32_of_3052:4	tail:249218,dispatch:546	258:9693,28:8348,347:8151,114:7722,340:7549,337:7502,189:7459,18:7392	258:9680,28:8347,347:8151,114:7715,340:7532,337:7502,189:7446,18:7377	EAC_DISPATCH_DETAIL,EAC_DISPATCH_LIMIT,EAC_DISPATCH_TRACE,EAC_DUMP_DIR,EAC_FAST_EXIT,EAC_LAUNCHERDIR,EAC_VMTAIL_LIMIT,EAC_VMTAIL_SITES,EAC_VMTAIL_TRACE	blocked_observed	2	2	0	api.epicgames.dev:1,datarouter.ol.epicgames.com:1	getaddrinfo@eac.elf+0x6b74f:2	blocked_observed	2	2	host -4 api.epicgames.dev:1,host -4 datarouter.ol.epicgames.com:1	1	dumps/vmtail-wide-w16	dumps/vmtail-wide-w16/vm_instruction_trace.tsv
dumps/vmtail-regs-smoke-w16	register_context_trace	x_mode_1	1	50000	311	1	0	0				1				0	0	0	0	0	0x0	0x0				+0/-202	+0/-205	+0/-71522	0/205	0/205	0/71809					EAC_DISPATCH_DETAIL,EAC_DISPATCH_LIMIT,EAC_DISPATCH_TRACE,EAC_DUMP_DIR,EAC_FAST_EXIT,EAC_LAUNCHERDIR,EAC_VMTAIL_LIMIT,EAC_VMTAIL_REGS,EAC_VMTAIL_SITES,EAC_VMTAIL_TRACE	blocked_observed	2	2	0	api.epicgames.dev:1,datarouter.ol.epicgames.com:1	getaddrinfo@eac.elf+0x6b74f:2	blocked_observed	2	2	host -4 api.epicgames.dev:1,host -4 datarouter.ol.epicgames.com:1	1	dumps/vmtail-regs-smoke-w16	
dumps/vmtail-regs-wide-w16	register_context_trace	x_mode_1	1	250000	311	1	0	0				1				0	0	0	0	0	0x0	0x0				+0/-202	+0/-205	+0/-71522	0/205	0/205	0/71809					EAC_DISPATCH_DETAIL,EAC_DISPATCH_LIMIT,EAC_DISPATCH_TRACE,EAC_DUMP_DIR,EAC_FAST_EXIT,EAC_LAUNCHERDIR,EAC_VMTAIL_LIMIT,EAC_VMTAIL_REGS,EAC_VMTAIL_SITES,EAC_VMTAIL_TRACE	blocked_observed	2	2	0	api.epicgames.dev:1,datarouter.ol.epicgames.com:1	getaddrinfo@eac.elf+0x6b74f:2	blocked_observed	2	2	host -4 api.epicgames.dev:1,host -4 datarouter.ol.epicgames.com:1	1	dumps/vmtail-regs-wide-w16	
dumps/vmtail-scratch-wide-w16	register_context_trace	x_mode_1	1	250000	311	1	1	0				1				0	0	0	0	0	0x0	0x0				+0/-202	+0/-205	+0/-71522	0/205	0/205	0/71809					EAC_DISPATCH_DETAIL,EAC_DISPATCH_LIMIT,EAC_DISPATCH_TRACE,EAC_DUMP_DIR,EAC_FAST_EXIT,EAC_LAUNCHERDIR,EAC_VMTAIL_LIMIT,EAC_VMTAIL_REGS,EAC_VMTAIL_SCRATCH,EAC_VMTAIL_SITES,EAC_VMTAIL_TRACE	blocked_observed	2	2	0	api.epicgames.dev:1,datarouter.ol.epicgames.com:1	getaddrinfo@eac.elf+0x6b74f:2	blocked_observed	2	2	host -4 api.epicgames.dev:1,host -4 datarouter.ol.epicgames.com:1	1	dumps/vmtail-scratch-wide-w16	
dumps/vmtail-scratch-wide-w16-fs337all	register_context_trace	x_mode_1	1	250000	311	1	1	0				1	25			0	0	0	0	0	0x0	0x0				+0/-202	+0/-205	+0/-71522	0/205	0/205	0/71809					EAC_DISPATCH_DETAIL,EAC_DISPATCH_LIMIT,EAC_DISPATCH_TRACE,EAC_DUMP_DIR,EAC_FAST_EXIT,EAC_LAUNCHERDIR,EAC_VMTAIL_LIMIT,EAC_VMTAIL_REGS,EAC_VMTAIL_SCRATCH,EAC_VMTAIL_SITES,EAC_VMTAIL_TRACE	blocked_observed	2	2	0	api.epicgames.dev:1,datarouter.ol.epicgames.com:1	getaddrinfo@eac.elf+0x6b74f:2	blocked_observed	2	2	host -4 api.epicgames.dev:1,host -4 datarouter.ol.epicgames.com:1	1	dumps/vmtail-scratch-wide-w16-fs337all	
dumps/vmtail-scratch-wide-w16-fs337all-fs128	register_context_trace	x_mode_1	1	250000	311	1	1	0				1	26			0	0	0	0	0	0x0	0x0				+0/-202	+0/-205	+0/-71522	0/205	0/205	0/71809					EAC_DISPATCH_DETAIL,EAC_DISPATCH_LIMIT,EAC_DISPATCH_TRACE,EAC_DUMP_DIR,EAC_FAST_EXIT,EAC_LAUNCHERDIR,EAC_VMTAIL_LIMIT,EAC_VMTAIL_REGS,EAC_VMTAIL_SCRATCH,EAC_VMTAIL_SITES,EAC_VMTAIL_TRACE	blocked_observed	2	2	0	api.epicgames.dev:1,datarouter.ol.epicgames.com:1	getaddrinfo@eac.elf+0x6b74f:2	blocked_observed	2	2	host -4 api.epicgames.dev:1,host -4 datarouter.ol.epicgames.com:1	1	dumps/vmtail-scratch-wide-w16-fs337all-fs128	
dumps/dispatch-detail	run_without_instruction_trace	x_mode_1	1			0	0	0				0				0	0	0	0	0	0x0	0x0				+0/-202	+0/-205	+0/-71522	0/205	0/205	0/71809					EAC_DISPATCH_DETAIL,EAC_DISPATCH_LIMIT,EAC_DISPATCH_TRACE,EAC_DUMP_DIR,EAC_FAST_EXIT,EAC_LAUNCHERDIR	blocked_observed	2	2	0	api.epicgames.dev:1,datarouter.ol.epicgames.com:1	getaddrinfo@eac.elf+0x6b74f:2	blocked_observed	2	2	host -4 api.epicgames.dev:1,host -4 datarouter.ol.epicgames.com:1	1	dumps/dispatch-detail	
dumps/dispatch-trap	run_without_instruction_trace	x_mode_1	1			0	0	0				0				0	0	0	0	0	0x0	0x0				+0/-202	+0/-205	+0/-71522	0/205	0/205	0/71809					EAC_DISPATCH_LIMIT,EAC_DISPATCH_TRACE,EAC_FAST_EXIT,EAC_LAUNCHERDIR	blocked_observed	2	2	0	api.epicgames.dev:1,datarouter.ol.epicgames.com:1	getaddrinfo@eac.elf+0x6b74f:2	blocked_observed	2	2	host -4 api.epicgames.dev:1,host -4 datarouter.ol.epicgames.com:1	1	dumps/dispatch-trap	
dumps/local-blocked-log	run_without_instruction_trace	x_mode_1	1			0	0	0				0				0	0	0	0	0	0x0	0x0				+0/-202	+0/-205	+0/-71522	0/205	0/205	0/71809					EAC_DUMP_DIR,EAC_LAUNCHERDIR	blocked_observed	2	2	0	api.epicgames.dev:1,datarouter.ol.epicgames.com:1	getaddrinfo@eac.elf+0x6b74f:2	blocked_observed	3	3	host -4 api.epicgames.dev:1,host -4 datarouter.ol.epicgames.com:1,lshw -C display 2>/dev/null:1	1	dumps/local-blocked-log	
dumps/vmtail-allstatic	run_without_instruction_trace	x_mode_1	1	250000	300	0	0	0				1				0	0	0	0	0	0x0	0x0				+0/-202	+0/-205	+0/-71522	0/205	0/205	0/71809					EAC_DISPATCH_DETAIL,EAC_DISPATCH_LIMIT,EAC_DISPATCH_TRACE,EAC_DUMP_DIR,EAC_FAST_EXIT,EAC_LAUNCHERDIR,EAC_VMTAIL_LIMIT,EAC_VMTAIL_SITES,EAC_VMTAIL_TRACE	blocked_observed	2	2	0	api.epicgames.dev:1,datarouter.ol.epicgames.com:1	getaddrinfo@eac.elf+0x6b74f:2	blocked_observed	2	2	host -4 api.epicgames.dev:1,host -4 datarouter.ol.epicgames.com:1	1	dumps/vmtail-allstatic	
dumps/vmtail-auto1	run_without_instruction_trace	x_mode_1	1	80000	25	0	0	0				1				0	0	0	0	0	0x0	0x0				+0/-202	+0/-205	+0/-71522	0/205	0/205	0/71809					EAC_DISPATCH_DETAIL,EAC_DISPATCH_LIMIT,EAC_DISPATCH_TRACE,EAC_DUMP_DIR,EAC_FAST_EXIT,EAC_LAUNCHERDIR,EAC_VMTAIL_LIMIT,EAC_VMTAIL_SITES,EAC_VMTAIL_TRACE	blocked_observed	2	2	0	api.epicgames.dev:1,datarouter.ol.epicgames.com:1	getaddrinfo@eac.elf+0x6b74f:2	blocked_observed	2	2	host -4 api.epicgames.dev:1,host -4 datarouter.ol.epicgames.com:1	1	dumps/vmtail-auto1	
dumps/vmtail-auto2	run_without_instruction_trace	x_mode_1	1	120000	45	0	0	0				1				0	0	0	0	0	0x0	0x0				+0/-202	+0/-205	+0/-71522	0/205	0/205	0/71809					EAC_DISPATCH_DETAIL,EAC_DISPATCH_LIMIT,EAC_DISPATCH_TRACE,EAC_DUMP_DIR,EAC_FAST_EXIT,EAC_LAUNCHERDIR,EAC_VMTAIL_LIMIT,EAC_VMTAIL_SITES,EAC_VMTAIL_TRACE	blocked_observed	2	2	0	api.epicgames.dev:1,datarouter.ol.epicgames.com:1	getaddrinfo@eac.elf+0x6b74f:2	blocked_observed	2	2	host -4 api.epicgames.dev:1,host -4 datarouter.ol.epicgames.com:1	1	dumps/vmtail-auto2	
dumps/vmtail-auto3	run_without_instruction_trace	x_mode_1	1	160000	69	0	0	0				1				0	0	0	0	0	0x0	0x0				+0/-202	+0/-205	+0/-71522	0/205	0/205	0/71809					EAC_DISPATCH_DETAIL,EAC_DISPATCH_LIMIT,EAC_DISPATCH_TRACE,EAC_DUMP_DIR,EAC_FAST_EXIT,EAC_LAUNCHERDIR,EAC_VMTAIL_LIMIT,EAC_VMTAIL_SITES,EAC_VMTAIL_TRACE	blocked_observed	2	2	0	api.epicgames.dev:1,datarouter.ol.epicgames.com:1	getaddrinfo@eac.elf+0x6b74f:2	blocked_observed	2	2	host -4 api.epicgames.dev:1,host -4 datarouter.ol.epicgames.com:1	1	dumps/vmtail-auto3	
dumps/vmtail-recursive	run_without_instruction_trace	x_mode_1	1	30000		0	0	0				1				0	0	0	0	0	0x0	0x0				+0/-202	+0/-205	+0/-71522	0/205	0/205	0/71809					EAC_DISPATCH_DETAIL,EAC_DISPATCH_LIMIT,EAC_DISPATCH_TRACE,EAC_DUMP_DIR,EAC_FAST_EXIT,EAC_LAUNCHERDIR,EAC_VMTAIL_LIMIT,EAC_VMTAIL_TRACE	blocked_observed	2	2	0	api.epicgames.dev:1,datarouter.ol.epicgames.com:1	getaddrinfo@eac.elf+0x6b74f:2	blocked_observed	2	2	host -4 api.epicgames.dev:1,host -4 datarouter.ol.epicgames.com:1	1	dumps/vmtail-recursive	
dumps/vmtail-trace	run_without_instruction_trace	x_mode_1	1	12000		0	0	0				1				0	0	0	0	0	0x0	0x0				+0/-202	+0/-205	+0/-71522	0/205	0/205	0/71809					EAC_DISPATCH_DETAIL,EAC_DISPATCH_LIMIT,EAC_DISPATCH_TRACE,EAC_DUMP_DIR,EAC_FAST_EXIT,EAC_LAUNCHERDIR,EAC_VMTAIL_LIMIT,EAC_VMTAIL_TRACE	blocked_observed	2	2	0	api.epicgames.dev:1,datarouter.ol.epicgames.com:1	getaddrinfo@eac.elf+0x6b74f:2	blocked_observed	2	2	host -4 api.epicgames.dev:1,host -4 datarouter.ol.epicgames.com:1	1	dumps/vmtail-trace	
