tail_hash	tail_len	tail_hex	events	source_entries	target_entries	semantic_gap_classes	source_classes	prefix_sources	prefix_lens	span_lens	top_sources	top_targets	u16_candidates	target_match_offsets	tail_schema	motifs	byte_layout
88616ce35928	0xb	d64e803d015f9d9d011300	10	1	1	known_prefix_plus_tail:10	sampled_only:10	long_branch_operand:10	0xb:10	0x16:10	316:10	199:10	+0x3:317,+0x9:19		long_tail_3d01_9d01	3d01,9d01	b0=0xd6;b1=0x4e;b2=0x80;b3=0x3d;b4=0x01;b5=0x5f;b6=0x9d;b7=0x9d;b8=0x01;b9=0x13;b10=0x00
187975cfe3d7	0x6	73cfb6a5e24f	9	1	1	known_prefix_plus_tail:9	sampled_only:9	long_branch_operand:9	0xb:9	0x11:9	210:9	196:9					b0=0x73;b1=0xcf;b2=0xb6;b3=0xa5;b4=0xe2;b5=0x4f
bfd62c8eb648	0x6	7a7b450eef00	9	1	1	known_prefix_plus_tail:9	sampled_only:9	long_branch_operand:9	0xb:9	0x11:9	246:9	18:9	+0x4:239				b0=0x7a;b1=0x7b;b2=0x45;b3=0x0e;b4=0xef;b5=0x00
d70750d586f5	0xb	7def13006b589d013d0180	7	1	1	known_prefix_plus_tail:7	sampled_only:7	long_branch_operand:7	0xb:7	0x16:7	316:7	258:7	+0x2:19,+0x8:317		long_tail_3d01_9d01	3d01,9d01	b0=0x7d;b1=0xef;b2=0x13;b3=0x00;b4=0x6b;b5=0x58;b6=0x9d;b7=0x01;b8=0x3d;b9=0x01;b10=0x80
5bfe5fe50bad	0xb	f8e6809d018cc13d011300	7	1	1	known_prefix_plus_tail:7	sampled_only:7	long_branch_operand:7	0xb:7	0x16:7	75:7	114:7	+0x7:317,+0x9:19		long_tail_3d01_9d01	3d01,9d01	b0=0xf8;b1=0xe6;b2=0x80;b3=0x9d;b4=0x01;b5=0x8c;b6=0xc1;b7=0x3d;b8=0x01;b9=0x13;b10=0x00
8a225d2baf6c	0x6	772f62028638	5	1	1	known_prefix_plus_tail:5	sampled_only:5	long_branch_operand:5	0xb:5	0x11:5	246:5	183:5					b0=0x77;b1=0x2f;b2=0x62;b3=0x02;b4=0x86;b5=0x38
ef51cdb00f10	0xb	cbc99d01cc8613003d0180	5	1	1	known_prefix_plus_tail:5	sampled_only:5	long_branch_operand:5	0xb:5	0x16:5	334:5	258:5	+0x6:19,+0x8:317		long_tail_3d01_9d01	3d01,9d01	b0=0xcb;b1=0xc9;b2=0x9d;b3=0x01;b4=0xcc;b5=0x86;b6=0x13;b7=0x00;b8=0x3d;b9=0x01;b10=0x80
6740c048f6a0	0x6	5e749b9094e6	4	1	1	known_prefix_plus_tail:4	sampled_only:4	long_branch_operand:4	0xb:4	0x11:4	246:4	66:4					b0=0x5e;b1=0x74;b2=0x9b;b3=0x90;b4=0x94;b5=0xe6
79cfbc546c43	0x6	8000e801a500	4	1	1	target_only_prefix_plus_tail:4	target_only:4	target_only_static_ip_advance:4	0xb:4	0x11:4	50:4	165:4	+0x0:128,+0x4:165*	165@+0x4:4	8000+e801+target_u16@4	8000,e801,a500	b0=0x80;b1=0x00;b2=0xe8;b3=0x01;b4=0xa5;b5=0x00
6c8e1771db23	0x6	83ced64817fd	4	1	1	known_prefix_plus_tail:4	sampled_only:4	long_branch_operand:4	0xb:4	0x11:4	334:4	185:4					b0=0x83;b1=0xce;b2=0xd6;b3=0x48;b4=0x17;b5=0xfd
fd10fd671d75	0x6	880a684bc0fb	4	1	1	known_prefix_plus_tail:4	sampled_only:4	long_branch_operand:4	0xb:4	0x11:4	145:4	43:4					b0=0x88;b1=0x0a;b2=0x68;b3=0x4b;b4=0xc0;b5=0xfb
fbd1ec18d8e2	0x6	9b901f9b5cf4	4	1	1	known_prefix_plus_tail:4	sampled_only:4	long_branch_operand:4	0xb:4	0x11:4	246:4	199:4					b0=0x9b;b1=0x90;b2=0x1f;b3=0x9b;b4=0x5c;b5=0xf4
50b288582c39	0x6	c3c9183aa80d	4	1	1	known_prefix_plus_tail:4	sampled_only:4	long_branch_operand:4	0xb:4	0x11:4	334:4	91:4					b0=0xc3;b1=0xc9;b2=0x18;b3=0x3a;b4=0xa8;b5=0x0d
ed4d493887e7	0x6	f0073fbd4247	4	1	1	known_prefix_plus_tail:4	sampled_only:4	long_branch_operand:4	0xb:4	0x11:4	145:4	180:4					b0=0xf0;b1=0x07;b2=0x3f;b3=0xbd;b4=0x42;b5=0x47
6340acd80e20	0x5	5a7710087c	3	1	1	known_prefix_plus_tail:3	sampled_only:3	long_branch_operand:3	0xb:3	0x10:3	246:3	258:3					b0=0x5a;b1=0x77;b2=0x10;b3=0x08;b4=0x7c
6533b0cbea4c	0x5	6d0df0008a	3	1	1	known_prefix_plus_tail:3	sampled_only:3	long_branch_operand:3	0xb:3	0x10:3	75:3	30:3	+0x2:240				b0=0x6d;b1=0x0d;b2=0xf0;b3=0x00;b4=0x8a
58ae88871c77	0x6	22ec885d1dfe	3	1	1	known_prefix_plus_tail:3	sampled_only:3	long_branch_operand:3	0xb:3	0x11:3	75:3	180:3					b0=0x22;b1=0xec;b2=0x88;b3=0x5d;b4=0x1d;b5=0xfe
b87d0b2f7d14	0x6	73c8cf073308	3	1	1	known_prefix_plus_tail:3	sampled_only:3	long_branch_operand:3	0xb:3	0x11:3	334:3	64:3					b0=0x73;b1=0xc8;b2=0xcf;b3=0x07;b4=0x33;b5=0x08
fd76132ea7b7	0x6	7c5c8e42078e	3	1	1	known_prefix_plus_tail:3	sampled_only:3	long_branch_operand:3	0xb:3	0x11:3	316:3	18:3					b0=0x7c;b1=0x5c;b2=0x8e;b3=0x42;b4=0x07;b5=0x8e
e01ae7009d64	0x6	8274faa79300	3	1	1	known_prefix_plus_tail:3	sampled_only:3	long_branch_operand:3	0xb:3	0x11:3	246:3	340:3	+0x4:147				b0=0x82;b1=0x74;b2=0xfa;b3=0xa7;b4=0x93;b5=0x00
64ca5cfe016b	0x6	88eced03ef02	3	1	1	known_prefix_plus_tail:3	sampled_only:3	long_branch_operand:3	0xb:3	0x11:3	210:3	297:3					b0=0x88;b1=0xec;b2=0xed;b3=0x03;b4=0xef;b5=0x02
f6657d203dc1	0x6	b87da0dfad6e	3	1	1	known_prefix_plus_tail:3	sampled_only:3	long_branch_operand:3	0xb:3	0x11:3	210:3	180:3					b0=0xb8;b1=0x7d;b2=0xa0;b3=0xdf;b4=0xad;b5=0x6e
456dda6b1867	0x6	e3ca0e017a44	3	1	1	known_prefix_plus_tail:3	sampled_only:3	long_branch_operand:3	0xb:3	0x11:3	334:3	91:3	+0x2:270				b0=0xe3;b1=0xca;b2=0x0e;b3=0x01;b4=0x7a;b5=0x44
c58703295cee	0x6	e80540083ca5	3	1	1	known_prefix_plus_tail:3	sampled_only:3	long_branch_operand:3	0xb:3	0x11:3	145:3	157:3					b0=0xe8;b1=0x05;b2=0x40;b3=0x08;b4=0x3c;b5=0xa5
16d78a9bc91f	0xc	5b4202de36008000e801ab00	3	1	1	target_only_prefix_plus_tail:3	target_only:3	target_only_static_ip_advance:3	0x5:3	0x11:3	80:3	171:3	+0x4:54,+0x6:128,+0xa:171*	171@+0xa:3	target_only_8000_tail_target@+0xa	8000,e801,ab00	b0=0x5b;b1=0x42;b2=0x02;b3=0xde;b4=0x36;b5=0x00;b6=0x80;b7=0x00;b8=0xe8;b9=0x01;b10=0xab;b11=0x00
3c4b16b950e0	0x5	36ad200839	2	1	1	known_prefix_plus_tail:2	sampled_only:2	long_branch_operand:2	0xb:2	0x10:2	75:2	260:2					b0=0x36;b1=0xad;b2=0x20;b3=0x08;b4=0x39
1db6237c77db	0x5	4f8bd3d5af	2	1	1	known_prefix_plus_tail:2	sampled_only:2	long_branch_operand:2	0xb:2	0x10:2	210:2	196:2					b0=0x4f;b1=0x8b;b2=0xd3;b3=0xd5;b4=0xaf
b840c0aeb4f5	0x5	63c3c7c782	2	1	1	known_prefix_plus_tail:2	sampled_only:2	long_branch_operand:2	0xb:2	0x10:2	75:2	189:2					b0=0x63;b1=0xc3;b2=0xc7;b3=0xc7;b4=0x82
c9118e819a6c	0x6	2d056d82f304	2	1	1	known_prefix_plus_tail:2	sampled_only:2	long_branch_operand:2	0xb:2	0x11:2	210:2	183:2					b0=0x2d;b1=0x05;b2=0x6d;b3=0x82;b4=0xf3;b5=0x04
b1d66c75d3df	0x6	35e27158ab49	2	1	1	known_prefix_plus_tail:2	sampled_only:2	long_branch_operand:2	0xb:2	0x11:2	246:2	196:2					b0=0x35;b1=0xe2;b2=0x71;b3=0x58;b4=0xab;b5=0x49
ff8c7e5708db	0x6	73c8c63adb0f	2	1	1	known_prefix_plus_tail:2	sampled_only:2	long_branch_operand:2	0xb:2	0x11:2	334:2	189:2					b0=0x73;b1=0xc8;b2=0xc6;b3=0x3a;b4=0xdb;b5=0x0f
689513047f74	0x6	8459c7c66800	2	1	1	known_prefix_plus_tail:2	sampled_only:2	long_branch_operand:2	0xb:2	0x11:2	316:2	297:2	+0x4:104				b0=0x84;b1=0x59;b2=0xc7;b3=0xc6;b4=0x68;b5=0x00
6b9be91b996d	0x6	a00a39736800	2	1	1	known_prefix_plus_tail:2	sampled_only:2	long_branch_operand:2	0xb:2	0x11:2	145:2	121:2	+0x4:104				b0=0xa0;b1=0x0a;b2=0x39;b3=0x73;b4=0x68;b5=0x00
8c41c50c2d89	0x6	f76e460c8c42	2	1	1	known_prefix_plus_tail:2	sampled_only:2	long_branch_operand:2	0xb:2	0x11:2	246:2	157:2					b0=0xf7;b1=0x6e;b2=0x46;b3=0x0c;b4=0x8c;b5=0x42
dec7cdbef22b	0x3	01e801	1	1	1	target_only_prefix_plus_tail:1	target_only:1	target_only_static_ip_advance:1	0x9:1	0xc:1	5:1	354:1				e801	b0=0x01;b1=0xe8;b2=0x01
e869a50570ed	0x4	45765401	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0xf:1	246:1	340:1	+0x2:340*	340@+0x2:1	target_u16@+0x2		b0=0x45;b1=0x76;b2=0x54;b3=0x01
53f3c80cbfc0	0x5	19be2cab3a	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x10:1	75:1	337:1					b0=0x19;b1=0xbe;b2=0x2c;b3=0xab;b4=0x3a
35f2b6bc5d52	0x5	2bcb8f503a	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x10:1	334:1	258:1					b0=0x2b;b1=0xcb;b2=0x8f;b3=0x50;b4=0x3a
cf1de519368b	0x5	6cb3e80548	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x10:1	316:1	189:1					b0=0x6c;b1=0xb3;b2=0xe8;b3=0x05;b4=0x48
7a4e4aa80d94	0x5	6de9a0322a	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x10:1	316:1	340:1					b0=0x6d;b1=0xe9;b2=0xa0;b3=0x32;b4=0x2a
d1d26a6169ea	0x5	6f8509157d	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x10:1	210:1	258:1					b0=0x6f;b1=0x85;b2=0x09;b3=0x15;b4=0x7d
682a203aa970	0x5	7df37f4b1a	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x10:1	316:1	347:1					b0=0x7d;b1=0xf3;b2=0x7f;b3=0x4b;b4=0x1a
6ca2d7434d9d	0x5	900070088e	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x10:1	145:1	268:1	+0x0:144				b0=0x90;b1=0x00;b2=0x70;b3=0x08;b4=0x8e
5e8217283ccd	0x5	92f9b5dfbe	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x10:1	316:1	114:1					b0=0x92;b1=0xf9;b2=0xb5;b3=0xdf;b4=0xbe
cba7b5ef4478	0x5	bfec6005a5	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x10:1	210:1	172:1					b0=0xbf;b1=0xec;b2=0x60;b3=0x05;b4=0xa5
02a42ebf411e	0x5	d8f19003dd	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x10:1	210:1	114:1					b0=0xd8;b1=0xf1;b2=0x90;b3=0x03;b4=0xdd
d8bde9ad8f16	0x5	e0fffb37bf	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x10:1	316:1	43:1					b0=0xe0;b1=0xff;b2=0xfb;b3=0x37;b4=0xbf
2216cd380b5d	0x5	f3cd58019a	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x10:1	334:1	43:1	+0x2:344				b0=0xf3;b1=0xcd;b2=0x58;b3=0x01;b4=0x9a
c6d22e76a924	0x5	f3cdd80a5d	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x10:1	334:1	347:1					b0=0xf3;b1=0xcd;b2=0xd8;b3=0x0a;b4=0x5d
c88e58884e10	0x6	03c749284c97	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	334:1	183:1					b0=0x03;b1=0xc7;b2=0x49;b3=0x28;b4=0x4c;b5=0x97
094a386de3b8	0x6	0c34a0346800	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	210:1	260:1	+0x4:104				b0=0x0c;b1=0x34;b2=0xa0;b3=0x34;b4=0x68;b5=0x00
49d637536838	0x6	1008b50568bb	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	145:1	199:1					b0=0x10;b1=0x08;b2=0xb5;b3=0x05;b4=0x68;b5=0xbb
2447ad470cf8	0x6	10a502a80bea	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	75:1	322:1					b0=0x10;b1=0xa5;b2=0x02;b3=0xa8;b4=0x0b;b5=0xea
a488bdc25ef0	0x6	12725c3ad1ec	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	246:1	196:1					b0=0x12;b1=0x72;b2=0x5c;b3=0x3a;b4=0xd1;b5=0xec
3ca3883bbc33	0x6	1585276f76d8	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	75:1	300:1					b0=0x15;b1=0x85;b2=0x27;b3=0x6f;b4=0x76;b5=0xd8
2fc8fef21647	0x6	1a9787644247	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	246:1	180:1					b0=0x1a;b1=0x97;b2=0x87;b3=0x64;b4=0x42;b5=0x47
cd30da1cd0dd	0x6	1d8f6b018ecf	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	210:1	18:1					b0=0x1d;b1=0x8f;b2=0x6b;b3=0x01;b4=0x8e;b5=0xcf
bb209831b5f5	0x6	35e2647c8801	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	316:1	322:1					b0=0x35;b1=0xe2;b2=0x64;b3=0x7c;b4=0x88;b5=0x01
fbc3f6628c02	0x6	456334eae89f	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	210:1	64:1					b0=0x45;b1=0x63;b2=0x34;b3=0xea;b4=0xe8;b5=0x9f
0d0f82e39f3a	0x6	5801a3019f7c	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	145:1	300:1	+0x0:344				b0=0x58;b1=0x01;b2=0xa3;b3=0x01;b4=0x9f;b5=0x7c
2f042e539a9b	0x6	5ae9e544f6d9	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	75:1	350:1					b0=0x5a;b1=0xe9;b2=0xe5;b3=0x44;b4=0xf6;b5=0xd9
c106b384a1c9	0x6	5deaea58d438	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	316:1	268:1					b0=0x5d;b1=0xea;b2=0xea;b3=0x58;b4=0xd4;b5=0x38
de257592294c	0x6	5dede1a7ec00	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	316:1	345:1	+0x4:236				b0=0x5d;b1=0xed;b2=0xe1;b3=0xa7;b4=0xec;b5=0x00
f6c2b4530483	0x6	6008e5a8ba63	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	145:1	66:1					b0=0x60;b1=0x08;b2=0xe5;b3=0xa8;b4=0xba;b5=0x63
438691f2cfdd	0x6	6008f699b16c	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	145:1	350:1					b0=0x60;b1=0x08;b2=0xf6;b3=0x99;b4=0xb1;b5=0x6c
2dcb4d18a7fd	0x6	62639ffa4247	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	75:1	180:1					b0=0x62;b1=0x63;b2=0x9f;b3=0xfa;b4=0x42;b5=0x47
66f0e84f74a0	0x6	629e4c226800	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	246:1	300:1	+0x4:104				b0=0x62;b1=0x9e;b2=0x4c;b3=0x22;b4=0x68;b5=0x00
11227b289963	0x6	65eee57564e0	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	316:1	28:1					b0=0x65;b1=0xee;b2=0xe5;b3=0x75;b4=0x64;b5=0xe0
91e456fbc0df	0x6	6c472c89fa4f	1	1	1	known_prefix_plus_tail:1	sampled_only:1	long_branch_operand:1	0xb:1	0x11:1	75:1	28:1					b0=0x6c;b1=0x47;b2=0x2c;b3=0x89;b4=0xfa;b5=0x4f
