rank	entry	target	function	model_function	sidecar	ip_advance	function_count	calls	rets	callret_status	slot_status	slot_expr	effects
140	205	0xa1a95	function_a1a95	vm_tier4_entry_205	vm_unobserved_handlers_retdec_batch05.c	8	3	0	1	native_ret_stack_prefix	masked_noisy_overlap_return_no_dispatch_slot		callret=native_ret_stack_prefix; calls=0; rets=1; ip += 8; retdec_tail=primary builds stack/value cell; overlaps tier1 state-only and tier3 masked dispatch-base candidate bodies; ip_reads=+0x1/2,+0x6/2,+0x4/2,+0x0/4,+0x0/1,+0x3/2; frame_reads=0xa,0x71,0x60,0x0,0xbb,0x194,0x10f; frame_writes=0x71,0x1dc,0x60,0x0,0x170,0xa; functions=function_a1a95,function_a1b3e,function_a1ecf; ranges=0xa1a95-0xa1b3e,0xa1b3e-0xa1ecf,0xa1ecf-0xa2361
141	143	0x957d9	function_957d9	vm_tier4_entry_143	vm_unobserved_handlers_retdec_batch03.c	8	4	0	1	native_ret_stack_prefix	masked_noisy_overlap_return_no_dispatch_slot		callret=native_ret_stack_prefix; calls=0; rets=1; ip += 8; retdec_tail=primary writes dereferenced qword plus frame[187]+operand; overlap return is noisy predicate residue; ip_reads=+0x6/2,+0x4/2,+0x0/4,+0x0/2; frame_reads=0xa,0x0,0x194,0x81,0x170,0xbb,0x71,0x16f,0x23,0x10f; frame_writes=0x170,0x23,0x1dc,0xa; functions=function_957d9,function_95887,function_95b5e,function_95b67; ranges=0x957d9-0x95887,0x95887-0x95b5c,0x95b5e-0x95b60,0x95b67-0x95b69
142	202	0xa13d6	function_a13d6	vm_tier4_entry_202	vm_unobserved_handlers_retdec_batch05.c	8	2	0	1	native_ret_stack_prefix	state_effect_only_no_dispatch_return		callret=native_ret_stack_prefix; calls=0; rets=1; ip += 8; retdec_tail=primary writes dereferenced qword plus frame[187]+operand and returns result; ip_reads=+0x6/2,+0x4/2,+0x0/4,+0x2/2,+0x0/2; frame_reads=0x23,0xa,0x170,0x81,0x0,0x194,0xbb,0x10f; frame_writes=0x170,0x23,0x1dc,0x81,0xa; functions=function_a13d6,function_a1484; ranges=0xa13d6-0xa1484,0xa1484-0xa1939
143	270	0xb0930	function_b0930	vm_tier4_entry_270	vm_unobserved_handlers_retdec_batch05.c	10	3	0	1	native_ret_prefix_over_helper_call_stub	state_effect_only_no_dispatch_return		callret=native_ret_prefix_over_helper_call_stub; calls=0; rets=1; ip += 10; retdec_tail=primary writes frame[187]+operand into destination; later overlap stub calls external helper; ip_reads=+0x0/4,+0x4/2,+0x0/8,+0x8/2; frame_reads=0xa,0x23,0x170,0x81,0x0,0xbb,0x194,0x10f; frame_writes=0x170,0x23,0x1dc,0x60,0xa; functions=function_b0930,function_b09ab,function_b0e32; ranges=0xb0930-0xb09ab,0xb09ab-0xb0e30,0xb0e32-0xb0e37
144	29	0x7e7cd	function_7e7cd	vm_tier4_entry_029	vm_unobserved_handlers_retdec_batch05.c	6	3	0	1	native_ret_result_prefix	masked_noisy_overlap_return_no_dispatch_slot		callret=native_ret_result_prefix; calls=0; rets=1; ip += 6; retdec_tail=primary writes frame[187]+operand into destination; overlap return is masked arithmetic residue; ip_reads=+0x0/2,+0x2/4,+0x2/2; frame_reads=0x81,0xa,0x170,0x23,0x194,0x0,0xbb,0x71,0x10f; frame_writes=0x23,0x170,0x1dc,0x60,0xa; functions=function_7e7cd,function_7e849,function_7ecda; ranges=0x7e7cd-0x7e849,0x7e849-0x7ecd2,0x7ecda-0x7ecdd
145	1	0x78835	function_78835	vm_tier4_entry_001	vm_unobserved_handlers_retdec_batch05.c	10	4	0	1	native_ret_stack_prefix	state_effect_only_no_dispatch_return		callret=native_ret_stack_prefix; calls=0; rets=1; ip += 10; retdec_tail=primary builds stack/value cell; overlap tier3 body is state-only for this entry; ip_reads=+0x6/2,+0x4/2,+0x0/4,+0x2/4,+0x2/8,+0x0/2; frame_reads=0xa,0x23,0x170,0x71,0xbb,0x81,0x194,0x10f; frame_writes=0x170,0x23,0x1dc,0x60,0xa; functions=function_78835,function_788e2,function_78c79,function_78c7f; ranges=0x78835-0x788e2,0x788e2-0x78c77,0x78c79-0x78c7b,0x78c7f-0x78c80
146	133	0x93ff3	function_93ff3	vm_tier4_entry_133	vm_unobserved_handlers_retdec_batch05.c	6	4	0	1	native_ret_prefix_over_noisy_child	noisy_dispatch_base_candidate_comment_only		callret=native_ret_prefix_over_noisy_child; calls=0; rets=1; ip += 6; retdec_tail=primary loads through a pointer and stores result; overlap tier3 body has noisy dispatch-base candidate; ip_reads=+0x0/2,+0x2/2,+0x0/4,+0x4/2; frame_reads=0xa,0x23,0x170,0x81,0x194,0x0,0x10f; frame_writes=0x23,0x170,0x1dc,0x16f,0x0,0xa; functions=function_93ff3,function_9406d,function_9447d,function_94483; ranges=0x93ff3-0x9406d,0x9406d-0x94478,0x9447d-0x9447f,0x94483-0x94484
147	113	0x9026f	function_9026f	vm_tier4_entry_113	vm_unobserved_handlers_retdec_batch06.c	8	2	0	1	native_ret_stack_prefix	state_effect_only_no_dispatch_return		callret=native_ret_stack_prefix; calls=0; rets=1; ip += 8; retdec_tail=primary builds stack/value cell; overlap child returns constant predicate; ip_reads=+0x6/2,+0x4/2,+0x0/4,+0x2/2,+0x0/2; frame_reads=0x23,0x170,0xa,0x81,0x0,0x194,0xbb,0x71,0x10f; frame_writes=0x23,0x170,0x1dc,0x0,0x16f,0xa; functions=function_9026f,function_90319; ranges=0x9026f-0x90319,0x90319-0x90895
148	21	0x7ca98	function_7ca98	vm_tier4_entry_021	vm_unobserved_handlers_retdec_batch05.c	5	4	0	1	native_ret_frame_cell	frame_cell_return_no_dispatch_slot		callret=native_ret_frame_cell; calls=0; rets=1; ip += 5; retdec_tail=primary returns frame[112] before tier3 state-only overlap body; ip_reads=+0x0/4,+0x2/1,+0x0/2,+0x3/2; frame_reads=0x81,0xa,0x194,0x23,0x0,0x170,0x60,0x71,0x10f; frame_writes=0x23,0x170,0x71,0x1dc,0x60,0x0,0xa; functions=function_7ca98,function_7cb43,function_7d009,function_7d00c; ranges=0x7ca98-0x7cb43,0x7cb43-0x7d007,0x7d009-0x7d00b,0x7d00c-0x7d00d
149	219	0xa517b	function_a517b	vm_tier4_entry_219	vm_unobserved_handlers_retdec_batch06.c	5	2	0	1	native_ret_frame_cell	frame_cell_return_no_dispatch_slot		callret=native_ret_frame_cell; calls=0; rets=1; ip += 5; retdec_tail=primary returns frame[112]; overlap child is noisy predicate residue; ip_reads=+0x0/4,+0x0/1,+0x1/2,+0x3/2; frame_reads=0xa,0x170,0x81,0x71,0x23,0x0,0x60,0x194,0x10f; frame_writes=0x170,0x23,0x71,0x1dc,0x0,0x60,0xa; functions=function_a517b,function_a522e; ranges=0xa517b-0xa522e,0xa522e-0xa5889
150	11	0x7a4d8	function_7a4d8	vm_tier4_entry_011	vm_unobserved_handlers_retdec_batch06.c	13	1	0	1	native_ret_with_early_masked_return	early_masked_native_return_no_dispatch_slot		callret=native_ret_with_early_masked_return; calls=0; rets=1; ip += 13; retdec_tail=RetDec has early masked dispatch-base/frame return plus final result return; ip_reads=+0x6/2,+0x8/1,+0x0/4,+0x4/2,+0x9/2,+0xb/2; frame_reads=0xa,0x12,0xbb,0x10f,0x170; frame_writes=0x12,0x1dc,0x170,0xa; functions=function_7a4d8; ranges=0x7a4d8-0x7acd8
151	132	0x93f79	function_93f79	vm_tier4_entry_132	vm_unobserved_handlers_retdec_batch05.c	6	5	0	2	native_double_ret_shared_prefix	multi_ret_side_effect_no_dispatch_slot		callret=native_double_ret_shared_prefix; calls=0; rets=2; ip += 6; retdec_tail=prefix plus noisy child return; native queue records two ret side-effect sites; ip_reads=+0x0/2,+0x2/4,+0x2/2,+0x0/4,+0x4/2; frame_reads=0xa,0x23,0x170,0x81,0xbb,0x194,0x0,0x10f; frame_writes=0x23,0x170,0x1dc,0x16f,0x0,0xa; functions=function_93f79,function_93ff3,function_9406d,function_9447d,function_94483; ranges=0x93f79-0x93ff3,0x93ff3-0x9406d,0x9406d-0x94478,0x9447d-0x9447f,0x94483-0x94484
152	194	0x9faa4	function_9faa4	vm_tier4_entry_194	vm_unobserved_handlers_retdec_batch05.c	8	4	0	2	native_double_ret_shared_prefix	multi_ret_side_effect_no_dispatch_slot		callret=native_double_ret_shared_prefix; calls=0; rets=2; ip += 8; retdec_tail=multiple shared range returns; no isolated dispatch slot; ip_reads=+0x4/2,+0x0/4,+0x6/2,+0x0/2,+0x2/2; frame_reads=0xa,0x23,0x170,0x71,0xbb,0x81,0x194,0x10f; frame_writes=0x170,0x23,0x1dc,0x81,0xa; functions=function_9faa4,function_9fb50,function_9fbcd,function_a006d; ranges=0x9faa4-0x9fb50,0x9fb50-0x9fbcd,0x9fbcd-0xa006b,0xa006d-0xa0076
153	318	0xba683	function_ba683	vm_tier4_entry_318	vm_unobserved_handlers_retdec_batch06.c	8	3	0	1	native_ret_stack_prefix	masked_noisy_overlap_return_no_dispatch_slot		callret=native_ret_stack_prefix; calls=0; rets=1; ip += 8; retdec_tail=primary builds stack/value cell; overlap return is noisy predicate residue; ip_reads=+0x6/2,+0x4/2,+0x0/4,+0x4/1,+0x0/2,+0x2/2; frame_reads=0xa,0x23,0x170,0x0,0x71,0x81,0x60,0xbb,0x194,0x10f; frame_writes=0x23,0x170,0x71,0x1dc,0x0,0x60,0xa; functions=function_ba683,function_ba72f,function_badaa; ranges=0xba683-0xba72f,0xba72f-0xbada5,0xbadaa-0xbadac
154	93	0x8bcef	function_8bcef	vm_tier4_entry_093	vm_unobserved_handlers_retdec_batch06.c	6	3	0	1	native_ret_result_prefix	masked_noisy_overlap_return_no_dispatch_slot		callret=native_ret_result_prefix; calls=0; rets=1; ip += 6; retdec_tail=primary writes frame[187]+operand into destination; overlap return is g3/noise residue; ip_reads=+0x2/4,+0x0/2,+0x0/1,+0x3/2,+0x1/2; frame_reads=0x170,0xa,0x0,0x23,0x194,0x60,0x71,0xbb,0x81,0x10f; frame_writes=0x23,0x170,0x71,0x1dc,0x60,0x0,0xa; functions=function_8bcef,function_8bd69,function_8c41e; ranges=0x8bcef-0x8bd69,0x8bd69-0x8c41c,0x8c41e-0x8c41f
155	32	0x7efa8	function_7efa8	vm_tier4_entry_032	vm_unobserved_handlers_retdec_batch06.c	13	3	0	1	native_ret_with_early_masked_return	early_masked_native_return_no_dispatch_slot		callret=native_ret_with_early_masked_return; calls=0; rets=1; ip += 13; retdec_tail=RetDec has early g3-masked native return plus final result return; ip_reads=+0x6/2,+0x8/1,+0x0/4,+0x4/2,+0x9/2,+0xb/2; frame_reads=0xa,0x12,0xbb,0x10f,0x170; frame_writes=0x12,0x1dc,0x170,0xa; functions=function_7efa8,function_7f7c6,function_7f7c9; ranges=0x7efa8-0x7f7c4,0x7f7c6-0x7f7c8,0x7f7c9-0x7f7ca
