source_entry	synthetic_start_vm_ip	missing_successor_vm_ip	operand_bytes	gap_statuses	zero_seed_status	zero_seed_pred_entry	zero_seed_pred_target	zero_seed_pred_delta	target_expr	slot_expr	ip_expr	steps	unknown_ops	branch_unknown	path_hash	path	tail_roles	static_slot_roles	classification	atlas_context
195	0x2304b8	0x2304be	7b4d04008000	target_footprint_of_6:1	unknown_target			+0x4	T[(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb]	(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb	0x4	275	47	0	9917c35930d48ca1	0x9fd8f:je:0;0x9fdf5:je:1	site=0xc80b9,target=*rax,slot=rax,index=rbx	site=0xc80b9,kind=central_indirect,target=*rax,slot=rax,index=rbx	symbolic_slot_expr	prev atlas 29 ends 0x2304b8 (+0x6); next atlas 30 starts 0x230722 (-0x264)
195	0x231b74	0x231b7a	c6f105008000	target_footprint_of_6:1	unknown_target			+0x4	T[(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb]	(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb	0x4	274	47	0	44a20faf942e72a8	0x9fd8f:je:1;0x9fdf5:je:1	site=0xc80b9,target=*rax,slot=rax,index=rbx	site=0xc80b9,kind=central_indirect,target=*rax,slot=rax,index=rbx	symbolic_slot_expr	prev atlas 31 ends 0x231b74 (+0x6); next atlas 32 starts 0x249468 (-0x178ee)
299	0x24bd2a	0x24bd30	533f06008000	target_footprint_of_6:2	unknown_target			+0x4	T[(mask32(u16_2 - (mask32((mask32((mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)) - (mask32((mask32(u16_0 + (mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)))) + flags0)))) | (mask32(flags0 & 0x1011ba33)))))) & 0xffff]	(mask32(u16_2 - (mask32((mask32((mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)) - (mask32((mask32(u16_0 + (mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)))) + flags0)))) | (mask32(flags0 & 0x1011ba33)))))) & 0xffff	0x4	274	67	1	b75ed1b046c72a97	0xb6c57:je:?;0xb6c87:je:0;0xb6d00:je:1;0xb6f5c:je:0	site=0xc80b9,target=*rax,slot=rax,index=rbx	site=0xc80b9,kind=central_indirect,target=*rax,slot=rax,index=rbx	symbolic_slot_expr	prev atlas 32 ends 0x24bd2a (+0x6); next atlas 33 starts 0x26cd71 (-0x21041)
246	0x293689	0x293694	62010000701800003d0122	target_footprint_of_11:1	ok	354	0xc2241	+0x1870	T[u16_0 << 0x3]	u16_0 << 0x3	u32_4	160	59	1	53569bca82baac46	0xab4df:je:1;0xab518:je:?;0xab56e:jne:1;0xab5b2:jne:1;0xab5fc:jne:1;0xab647:jne:1;0xab683:jne:1;0xab70b:jne:1;0xab7c5:jne:1;0xab834:jne:1;0xab8bf:jne:1;0xab97d:jne:1;0xab9b6:jne:1;0xaba0b:jne:1;0xaba37:jne:1;0xaba89:jne:1;0xabab2:jne:1;0xa...#53569bca82baac46	site=0xabc56,target=r9,index=r13	site=0xabc56,kind=consumed_slot,target=r9,slot=r12,index=r13	symbolic_slot_expr	prev atlas 35 ends 0x293689 (+0xb); next atlas 36 starts 0x2bec2e (-0x2b59a)
195	0x31f2b1	0x31f2b7	3f3c07008000	target_footprint_of_6:1	unknown_target			+0x4	T[(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb]	(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb	0x4	274	47	0	44a20faf942e72a8	0x9fd8f:je:1;0x9fdf5:je:1	site=0xc80b9,target=*rax,slot=rax,index=rbx	site=0xc80b9,kind=central_indirect,target=*rax,slot=rax,index=rbx	symbolic_slot_expr	prev atlas 45 ends 0x31f2b1 (+0x6); next atlas 46 starts 0x33170b (-0x12454)
195	0x333bc9	0x333bcf	d84807008000	target_footprint_of_6:1	unknown_target			+0x4	T[(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb]	(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb	0x4	274	47	0	44a20faf942e72a8	0x9fd8f:je:1;0x9fdf5:je:1	site=0xc80b9,target=*rax,slot=rax,index=rbx	site=0xc80b9,kind=central_indirect,target=*rax,slot=rax,index=rbx	symbolic_slot_expr	prev atlas 47 ends 0x333bc9 (+0x6); next atlas 48 starts 0x334a3d (-0xe6e)
299	0x33710f	0x337115	3d4b07008000	target_footprint_of_6:1	unknown_target			+0x4	T[(mask32(u16_2 - (mask32((mask32((mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)) - (mask32((mask32(u16_0 + (mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)))) + flags0)))) | (mask32(flags0 & 0x1011ba33)))))) & 0xffff]	(mask32(u16_2 - (mask32((mask32((mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)) - (mask32((mask32(u16_0 + (mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)))) + flags0)))) | (mask32(flags0 & 0x1011ba33)))))) & 0xffff	0x4	274	67	1	b75ed1b046c72a97	0xb6c57:je:?;0xb6c87:je:0;0xb6d00:je:1;0xb6f5c:je:0	site=0xc80b9,target=*rax,slot=rax,index=rbx	site=0xc80b9,kind=central_indirect,target=*rax,slot=rax,index=rbx	symbolic_slot_expr	prev atlas 49 ends 0x33710f (+0x6); next atlas 50 starts 0x337e84 (-0xd6f)
299	0x33a6cc	0x33a6d2	924d07008000	target_footprint_of_6:1	unknown_target			+0x4	T[(mask32(u16_2 - (mask32((mask32((mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)) - (mask32((mask32(u16_0 + (mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)))) + flags0)))) | (mask32(flags0 & 0x1011ba33)))))) & 0xffff]	(mask32(u16_2 - (mask32((mask32((mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)) - (mask32((mask32(u16_0 + (mask32((mask32(state0 & 0x2b7e7713)) & 0x515f6307)))) + flags0)))) | (mask32(flags0 & 0x1011ba33)))))) & 0xffff	0x4	274	67	1	b75ed1b046c72a97	0xb6c57:je:?;0xb6c87:je:0;0xb6d00:je:1;0xb6f5c:je:0	site=0xc80b9,target=*rax,slot=rax,index=rbx	site=0xc80b9,kind=central_indirect,target=*rax,slot=rax,index=rbx	symbolic_slot_expr	prev atlas 51 ends 0x33a6cc (+0x6); next atlas 52 starts 0x33b647 (-0xf75)
195	0x33d2d9	0x33d2df	884f07008000	target_footprint_of_6:1	unknown_target			+0x4	T[(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb]	(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb	0x4	275	47	0	9917c35930d48ca1	0x9fd8f:je:0;0x9fdf5:je:1	site=0xc80b9,target=*rax,slot=rax,index=rbx	site=0xc80b9,kind=central_indirect,target=*rax,slot=rax,index=rbx	symbolic_slot_expr	prev atlas 52 ends 0x33d2d9 (+0x6); next atlas 53 starts 0x33db28 (-0x849)
175	0x34556c	0x345572	515b07008000	target_footprint_of_6:1	unknown_target			+0x4	T[(mask32((mask32(u16_2 - (mask32((mask32((mask32(state0 & flags0)) & 0x2c46ace3)) | flags0)))) ^ 0x37839d72)) & 0xffff]	(mask32((mask32(u16_2 - (mask32((mask32((mask32(state0 & flags0)) & 0x2c46ace3)) | flags0)))) ^ 0x37839d72)) & 0xffff	0x4	187	41	0	bbe0d482f93ad097	0x9c1c7:jne:1;0x9c215:je:1;0x9c25d:je:0	site=0xcdac7,target=*rax,slot=rax,index=rbx	site=0xcdac7,kind=central_indirect,target=*rax,slot=rax,index=rbx	symbolic_slot_expr	prev atlas 55 ends 0x34556c (+0x6); next atlas 56 starts 0x3603af (-0x1ae3d)
195	0x3655e4	0x3655ea	bd7907008000	target_footprint_of_6:1	unknown_target			+0x4	T[(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb]	(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)) + ...#10349b78810d72cb	0x4	274	47	0	44a20faf942e72a8	0x9fd8f:je:1;0x9fdf5:je:1	site=0xc80b9,target=*rax,slot=rax,index=rbx	site=0xc80b9,kind=central_indirect,target=*rax,slot=rax,index=rbx	symbolic_slot_expr	prev atlas 58 ends 0x3655e4 (+0x6); next atlas 59 starts 0x3674c3 (-0x1ed9)
