row_type	scope	metric	value	entry	target	events	flags	frontier_kind	evidence	next_action	note
metric	static_audit.dynamic_cross_trace	concrete_instruction_trace_scenarios	12								Instruction-trace scenarios before synthetic file/hidden/frontier/footprint fill sidecars.
metric	static_audit.dynamic_cross_trace	run_dirs_without_instruction_trace	20								Run directories with driver logs but no vm_instruction_trace.tsv; useful for context/register evidence, not bytecode path coverage.
metric	static_audit.dynamic_cross_trace	run_dirs_with_tail_mem	6								Run directories whose driver logs include event-local qword reads from live GPR pointers.
metric	static_audit.dynamic_cross_trace	trace_class_mix	run_without_instruction_trace:9, memory_context_trace:6, raw_dynamic_trace:6, register_context_trace:5, synthetic_filled_trace:4, state_trace:3, alternate_mode_trace:2, fake_network_trace:1								Trace inventory classes; synthetic rows are derived coverage, not independent runtime configs.
metric	static_audit.dynamic_cross_trace	network_policy_mix	blocked_observed:34, fake_observed:1, not_observed:1								Observed preload network policy across all run directories; blocked rows denied live network calls.
metric	static_audit.dynamic_cross_trace	concrete_network_policy_mix	blocked_observed:11, fake_observed:1								Network provenance among concrete instruction traces before synthetic fill sidecars.
metric	static_audit.dynamic_cross_trace	spawn_policy_mix	blocked_observed:34, not_observed:2								Observed preload process-spawn policy across all run directories.
metric	static_audit.dynamic_cross_trace	concrete_runtime_modes_seen	0,1,2								x() mode values among concrete instruction traces.
metric	static_audit.dynamic_cross_trace	concrete_instruction_traces_with_network_events	12								Concrete instruction traces where the log reached network calls.
metric	static_audit.dynamic_cross_trace	concrete_instruction_traces_with_network_denied	11								Concrete instruction traces whose network calls were denied by trace_preload.
metric	static_audit.dynamic_cross_trace	concrete_instruction_traces_with_network_fake	1								Concrete instruction traces whose network calls were satisfied by trace_preload's local fake-network mode.
metric	static_audit.dynamic_cross_trace	concrete_instruction_traces_with_network_allowed	0								Concrete instruction traces with real/non-fake network calls that were not denied in the preload log.
metric	static_audit.dynamic_cross_trace	concrete_instruction_traces_without_network_events	0								Concrete instruction traces that did not reach preload-logged network calls.
metric	static_audit.dynamic_cross_trace	concrete_network_host_mix	api.epicgames.dev:12, datarouter.ol.epicgames.com:12								Hostnames reached by concrete instruction traces before network denial or allowance.
metric	static_audit.dynamic_cross_trace	max_concrete_source_handlers_seen	202								Largest source-handler count in any concrete runtime trace; separate from synthetic fill sidecars.
metric	static_audit.dynamic_cross_trace	max_concrete_target_handlers_seen	205								Largest target-handler count in any concrete runtime trace; separate from synthetic fill sidecars.
metric	static_audit.dynamic_cross_trace	max_concrete_vm_ip_starts_seen	71522								Largest VM-IP-start count in any concrete runtime trace; separate from synthetic fill sidecars.
metric	static_audit.dynamic_cross_trace	union_source_handlers_seen	205								Union of source handlers across instruction traces in the matrix, including derived synthetic fill rows.
metric	static_audit.dynamic_cross_trace	union_target_handlers_seen	205								Union of target handlers across instruction traces in the matrix, including derived synthetic fill rows.
metric	static_audit.dynamic_cross_trace	union_vm_ip_starts_seen	71809								Union of VM-IP starts across instruction traces in the matrix, including derived synthetic fill rows.
metric	static_audit.dynamic_cross_trace	concrete_traces_adding_sources_vs_primary	0								Concrete instruction traces that add source handlers beyond the primary long trace.
metric	static_audit.dynamic_cross_trace	concrete_traces_missing_primary_sources	10								Concrete instruction traces that miss one or more primary long-trace source handlers.
metric	static_audit.dynamic_cross_trace	synthetic_fill_trace_rows	4								Derived trace rows used to widen bytecode coverage without claiming a new runtime config.
metric	static_audit.static_handler_inventory	dispatch_entries	360								Rows in the dispatch-table handler inventory.
metric	static_audit.static_handler_inventory	entries_with_dynamic_source_events	202								Subset of dispatch entries directly executed as sources in the primary trace.
metric	static_audit.static_handler_inventory	entries_seen_as_targets	205								Dispatch entries reached as targets by the primary trace.
metric	static_audit.static_handler_inventory	entries_not_seen_as_targets	155								Entries still inventoried statically despite no target hit in the primary trace.
metric	static_audit.static_handler_inventory	handler_observation_mix	exact:190, unobserved:155, sampled_backedge:7, sampled_long_or_sparse:4, target_only:3, central_or_long:1								Dynamic observation class joined with static handler features.
metric	static_audit.static_handler_inventory	static_state_slice_entries	360								Static state/flag slices over native handler code.
metric	static_audit.static_handler_inventory	transition_model_entries	360								One consolidated reconstruction row per dispatch entry.
metric	static_audit.static_handler_inventory	microcode_entries	360								One compact pseudo-IR row per dispatch entry.
metric	static_audit.static_handler_inventory	handler_pseudocode_functions	360								C-like op_entry_NNN functions emitted for dispatch entries.
metric	static_audit.static_handler_inventory	handler_pseudocode_classes	static_validated:166, unobserved_static:155, affine_dispatch_fallback:13, partial:11, sampled_only:9, target_only:3, sampled_operand_lifted:3								Recovery class mix in the all-entry handler pseudocode.
metric	static_audit.bytecode_program_layer	vm_ir_rows	71522								Recovered VM program rows used by the block/program pseudocode layer.
metric	static_audit.bytecode_program_layer	vm_ir_row_kinds	exact_instruction:71364, long_branch_forward:93, long_branch_backedge:53, sampled_operand_forward:6, sampled_operand_backedge:6								Exact rows plus decoded sampled/control sidecars.
metric	static_audit.bytecode_program_layer	basic_blocks	499								Recovered VM basic blocks from the available bytecode slice.
metric	static_audit.bytecode_program_layer	program_pseudocode_blocks	998								C-like prog_bb_NNNN functions in the full program sketch.
metric	static_audit.bytecode_program_layer	block_terminal_kinds	exact_instruction:341, long_branch_forward:93, long_branch_backedge:53, sampled_operand_forward:6, sampled_operand_backedge:6								How recovered blocks terminate.
metric	static_audit.bytecode_program_layer	block_edge_kinds	covered_synthetic_fallthrough:287, decoded_control:158, fallthrough:54								Decoded, direct fallthrough, and covered synthetic fallthrough edges.
metric	static_audit.validated_static_model	state_static_100pct_handlers	171								Handlers whose static state slice matched all validated state-trace rows; events=764177.
metric	static_audit.validated_static_model	dispatch_ip_static_100pct_handlers	171								Handlers whose static dispatch/IP slice matched all validated state-trace rows; events=764177.
metric	static_audit.validated_static_model	dispatch_model_static_100_handlers	166								Handlers whose final dispatch model uses pure static validation; events=764108.
metric	static_audit.validated_static_model	dispatch_model_100pct_handlers	179								Handlers whose static-plus-affine dispatch model matched all validated rows; events=767546.
metric	static_audit.caveat	dynamic_bytecode_globality	not_proven								The handler layer is global over the dispatch table; the bytecode/CFG layer remains scenario/path coverage plus file-backed and decoded sidecars.
frontier				1	0x78835	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				2	0x788e2	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				4	0x792f8	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				5	0x79675	6	0x2	target_only_handler	coverage_status=concrete_target_only source_traces=3 target_traces=6	recover source-side predecessor or static source semantics for this handler	-
frontier				6	0x7971e	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				7	0x799c7	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				8	0x79a3d	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				10	0x7a04f	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				11	0x7a4d8	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				12	0x7acd8	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				14	0x7b3be	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				15	0x7b6cb	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				16	0x7b77c	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				19	0x7c30a	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				21	0x7ca98	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				22	0x7cb43	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				23	0x7d007	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				24	0x7d5ec	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				25	0x7d941	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				27	0x7dfbf	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				29	0x7e7cd	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				32	0x7efa8	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				34	0x7fba3	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				38	0x80d79	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				39	0x80ef6	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				41	0x8129d	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				44	0x81b7f	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				45	0x81f2e	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				46	0x820e1	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				47	0x822bc	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				50	0x82e76	13	0x2	target_only_handler	coverage_status=concrete_target_only source_traces=3 target_traces=13	recover source-side predecessor or static source semantics for this handler	-
frontier				51	0x83061	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				53	0x8371d	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				55	0x83b40	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				57	0x841f9	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				58	0x8428c	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				59	0x84302	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				60	0x84596	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				61	0x84762	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				63	0x84e1d	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				67	0x859fc	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				68	0x85b89	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				71	0x86766	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				72	0x868bd	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				73	0x86be4	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				76	0x87d17	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				77	0x88131	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				80	0x88a58	13	0x2	target_only_handler	coverage_status=concrete_target_only source_traces=3 target_traces=13	recover source-side predecessor or static source semantics for this handler	-
frontier				81	0x88c3f	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				84	0x8983b	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				89	0x8b028	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				93	0x8bcef	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				96	0x8c4cf	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				97	0x8c5b9	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				98	0x8c8ec	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				100	0x8cc81	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				103	0x8df9c	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				104	0x8e2ef	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				106	0x8eb79	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				109	0x8f6d1	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				110	0x8f834	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				111	0x8f8ae	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				113	0x9026f	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				115	0x90895	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				116	0x90a1b	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				120	0x9106a	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				126	0x92615	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				132	0x93f79	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				133	0x93ff3	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				134	0x9406d	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				135	0x94478	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				137	0x94973	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				138	0x94c3a	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				139	0x94ddf	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				141	0x951c2	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				143	0x957d9	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				147	0x96918	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				149	0x96eb4	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				150	0x96f2a	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				152	0x9768c	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				155	0x980ab	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				156	0x98354	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				159	0x992cd	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				162	0x99b3c	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				163	0x99e21	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				164	0x99e99	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				166	0x9a46e	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				170	0x9b0c8	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				177	0x9c3f7	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				178	0x9c74a	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				182	0x9d24c	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				191	0x9ede9	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				193	0x9f77c	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				194	0x9faa4	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				197	0xa006b	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				202	0xa13d6	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				204	0xa1939	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				205	0xa1a95	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				206	0xa1b3e	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				207	0xa1ecf	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				211	0xa36c9	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				212	0xa3a4b	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				213	0xa3dc7	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				218	0xa4df7	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				219	0xa517b	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				223	0xa6470	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
frontier				224	0xa68c2	0	0x1	static_only_handler	coverage_status=static_only_unobserved_in_trace_matrix source_traces=0 target_traces=0	static RetDec/model lifting or force targeted trace for this dispatch entry	-
