source_entry	synthetic_start_vm_ip	focused_direct_promotion_candidate	raw_start_event_rows	raw_sequence_rows	unique_raw_transfers	raw_sequence_class_mix	following_residual_start_mix	chain_path	chain_terminal	chain_length	example_trace_file	example_start_event_index	example_start_event_count	example_start_event_kind	example_start_event_site	example_start_event_entry	example_next_event_kind	example_next_event_site	example_next_event_site_sources	example_next_site_matches_start_entry	example_next_event_vm_ip	example_next_event_delta	example_next_event_target_entry	example_next_event_target	example_next_event_byte_status	example_next_event_bytes	example_following_event_kind	example_following_event_site	example_following_event_vm_ip	example_following_event_delta	example_following_event_entry	example_following_residual_start	sequence_promotion_candidate	promotion_blocker
195	0x2304b8	no	1	1	1	raw_next_tail_indirect_site:1	0xd1445:1	0x2304b8 -> 0xd1445 -> 0xd5ebc -> 0xdaf39 -> 0x18c467	focused_direct_promoted	5	dumps/vmtail-live-residual-targets/run.stderr	42	6	tail	0x9d961	195	tail	0x90893	113,114	no	0xd1441	-0x15f077	158	0x99029	backedge_sample	7b4d0400800041f7f29c41524883ec084c891424415a5148b936010000000000	tail	0x992ca	0xd1445	+0x4	175	0xd1445	no	chains into a focused direct bridge but the first hop is an indirect tail-site sequence
195	0x231b74	no	2	2	1	raw_next_tail_indirect_site:2	0x1ed483:2	0x231b74 -> 0x1ed483 -> 0x1a6041 -> 0x12906f -> 0x17452e -> 0x122e3c	raw_sequence_no_residual_successor	6	dumps/vmtail-live-residual-targets/run.stderr	3417	32	tail	0x9c08c	195	tail	0x90893	113,114	no	0x1ed47f	-0x446f5	161	0x9975a	backedge_sample	c6f1050080009c4151688561447f564c89e64889742408488b34244881c40800	tail	0x99b3a	0x1ed483	+0x4	195	0x1ed483	no	sequence-only indirect tail evidence
299	0x24bd2a	yes	2	2	2	raw_next_dispatch:1,raw_next_tail_indirect_site:1	0x2304b8:1	0x24bd2a	focused_direct_promoted	1	dumps/vmtail-live-residual-targets/run.stderr	29	2	tail	0x7ca96	299	dispatch	0xc80b9		no	0x26cd71	+0x21047	86	0x8a37f	prefix_32_of_135239	533f060080009c41534989e34983c3084981eb080000004c871c245c48893c24	dispatch	0xc80b9	0x26dc7b	+0xf0a	310		superseded_by_focused_direct_bridge	-
195	0x31f2b1	yes	1	1	1	raw_next_dispatch:1	-	0x31f2b1	focused_direct_promoted	1	dumps/vmtail-live-residual-targets/run.stderr	76	24	tail	0x9d961	195	dispatch	0xcdac7		no	0x33f278	+0x1ffc7	323	0xbb6e6	prefix_32_of_131015	3f3c0700800069c0fd4303009c415541505441584983c0084981e8080000004c	dispatch	0xcdac7	0x33f4f1	+0x279	310		superseded_by_focused_direct_bridge	-
195	0x333bc9	no	1	1	1	raw_next_tail_indirect_site:1	0x33a6cc:1	0x333bc9 -> 0x33a6cc	focused_direct_promoted	2	dumps/vmtail-live-residual-targets/run.stderr	64	18	tail	0x9c08c	195	tail	0x9dcab	185	no	0x33a6c8	+0x6aff	176	0x9c10b	prefix_32_of_27391	d8480700800069d2fd43fd439c415468894e12604c892424ff3424415c4883c4	tail	0x9c3f4	0x33a6cc	+0x4	299	0x33a6cc	no	chains into a focused direct bridge but the first hop is an indirect tail-site sequence
299	0x33710f	no	1	1	1	raw_next_tail_indirect_site:1	0x333bc9:1	0x33710f -> 0x333bc9 -> 0x33a6cc	focused_direct_promoted	3	dumps/vmtail-live-residual-targets/run.stderr	62	16	tail	0x9c3f4	299	tail	0xbf886	340	no	0x333bc5	-0x354a	174	0x9bd8f	backedge_sample	3d4b070080009c5151ff342459574889e74883c7084881c70800000048873c24	tail	0x9c08c	0x333bc9	+0x4	195	0x333bc9	no	chains into a focused direct bridge but the first hop is an indirect tail-site sequence
299	0x33a6cc	yes	1	1	1	raw_next_dispatch:1	-	0x33a6cc	focused_direct_promoted	1	dumps/vmtail-live-residual-targets/run.stderr	66	20	tail	0x9c3f4	299	dispatch	0xc80b9		no	0x33b647	+0xf7b	42	0x815ea	prefix_32_of_3963	924d0700800069c0298600009c68b361aa4c48892c2441524989ea4c89d5415a	dispatch	0xc80b9	0x33c774	+0x112d	169		superseded_by_focused_direct_bridge	-
195	0x33d2d9	no	1	1	1	raw_next_tail_indirect_site:1	0x31f2b1:1	0x33d2d9 -> 0x31f2b1	focused_direct_promoted	2	dumps/vmtail-live-residual-targets/run.stderr	74	22	tail	0x9c3f4	195	tail	0xbf886	340	no	0x31f2ad	-0x1e02c	184	0x9d694	backedge_sample	884f0700800048989c4881ec0800000048890c2451488134245c50ef05594881	tail	0x9d961	0x31f2b1	+0x4	195	0x31f2b1	no	chains into a focused direct bridge but the first hop is an indirect tail-site sequence
175	0x34556c	yes	2	2	1	raw_next_dispatch:2	-	0x34556c	focused_direct_promoted	1	dumps/vmtail-live-residual-targets/run.stderr	3389	26	tail	0x9c3f4	175	dispatch	0xc80b9		no	0x3603af	+0x1ae43	86	0x8a37f	prefix_32_of_110147	515b0700800069d26d4ec6419c68f7e630534c892c2468e2aaf11e4c892c2448	dispatch	0xc80b9	0x360614	+0x265	310		superseded_by_focused_direct_bridge	-
195	0x3655e4	no	2	2	1	raw_next_tail_indirect_site:2	0x17a420:2	0x3655e4 -> 0x17a420 -> 0x231b74 -> 0x1ed483 -> 0x1a6041 -> 0x12906f -> 0x17452e -> 0x122e3c	raw_sequence_no_residual_successor	8	dumps/vmtail-live-residual-targets/run.stderr	3413	28	tail	0x992ca	195	tail	0xae32f	258	no	0x17a41c	-0x1eb1c8	161	0x9975a	backedge_sample	bd790700800069c9fd43fd439c554889e54883c5084881ed0800000048872c24	tail	0x99b3a	0x17a420	+0x4	175	0x17a420	no	sequence-only indirect tail evidence
