observation	delta	shape	constant_bytes	skeleton_hash	events	entries	top_entries	top_targets	top_ops	skeleton
exact	+0x3	VVV	-	d2ffd3225c84d40c	19639	1	199@0xa0631:19639	258@0xadf2c:1481,64@0x85059:1221,340@0xbf435:993,189@0x9e7af:967,184@0x9d694:957,346@0xc0535:947	RF+0x23/4:7,WF+0x23/4:7,WF+0x170/4:4,RF+0x81/8:4,RF+0x194/1:3,RF+0x170/4:3	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x4	VVVE	-	d43b5942ad5476c4	14692	1	157@0x98a9a:14692	18@0x7be9b:993,199@0xa0631:922,66@0x855ff:885,340@0xbf435:831,64@0x85059:828,185@0x9d964:813	WF+0x23/4:11,RF+0x23/4:8,WF+0x170/4:5,RF+0x170/4:3,RF+0x81/8:3,RF+0xa/8:2	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:add;WF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x4	VVVV	-	b9418f3062543231	14516	2	172@0x9b68a:12529,254@0xad32c:1987	28@0x7e390:1048,258@0xadf2c:760,199@0xa0631:756,305@0xb78b0:674,340@0xbf435:647,189@0x9e7af:642	WF+0x170/4:14,RF+0x170/4:7,RF+0x23/4:7,RF+0x81/8:6,WF+0x23/4:5,RF+0xa/8:4	IPADV+0x2;RIP+0x2/2:movzx;WF+0x170/4:or;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x4	VVVV	-	c7d20c5ca772bc71	14371	1	196@0x9fbcd:14371	18@0x7be9b:1113,189@0x9e7af:988,340@0xbf435:880,66@0x855ff:807,258@0xadf2c:771,33@0x7f7c4:666	WF+0x170/4:7,WF+0x23/4:6,RF+0x23/4:5,RF+0x170/4:4,RF+0x71/8:3,RF+0xa/8:2	IPADV+0x2;RIP+0x2/2:movzx;RF+0x170/4:add;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x4	VVVV	-	9e9da93b4e74ac3f	14366	1	168@0x9aa83:14366	340@0xbf435:964,258@0xadf2c:861,337@0xbec0e:838,305@0xb78b0:795,189@0x9e7af:776,26@0x7dbbb:749	WF+0x23/4:9,RF+0x23/4:6,RF+0x81/8:4,WF+0x170/4:3,RF+0xa/8:2,IPADV+0x0:1	IPADV+0x2;RIP+0x2/2:movzx;RF+0x170/4:add;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x4	VVVE	-	1a7fdca146ae9756	12194	1	333@0xbd8af:12194	305@0xb78b0:766,114@0x90319:750,199@0xa0631:703,243@0xaab6a:667,64@0x85059:626,18@0x7be9b:613	WF+0x170/4:6,RF+0x170/4:5,WF+0x23/4:5,RF+0x23/4:5,RF+0x81/8:2,RF+0x194/1:2	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;WF+0x170/4:add;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x4	VVVV	-	8e4aa4aa2ac5620d	12037	1	268@0xb0007:12037	243@0xaab6a:816,28@0x7e390:796,64@0x85059:710,185@0x9d964:693,215@0xa4609:585,305@0xb78b0:479	RF+0x170/4:6,RF+0x23/4:6,WF+0x170/4:5,WF+0x23/4:5,RF+0x81/8:5,RF+0x0/8:3	IPADV+0x2;RIP+0x2/2:movzx;RF+0x170/4:sub;WF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add;RF+0x170/4:mov
exact	+0x4	VVCC	b2=0xe8,b3=0x01	f76b97432a76e62a	11741	1	174@0x9bd8f:11741	28@0x7e390:1082,258@0xadf2c:1081,114@0x90319:941,347@0xc088d:812,337@0xbec0e:757,185@0x9d964:748	WF+0x170/4:6,RF+0x81/8:5,RF+0x23/4:4,RF+0x170/4:3,RF+0x0/8:3,RF+0x194/1:3	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:add;WF+0x170/4:or;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x4	VVCC	b2=0xe8,b3=0x01	a5d0d63f903940f7	10873	1	305@0xb78b0:10873	307@0xb8064:1290,189@0x9e7af:771,297@0xb64d7:684,28@0x7e390:581,338@0xbf128:576,199@0xa0631:546	RF+0x81/8:5,RF+0x170/4:4,WF+0x23/4:3,RF+0x194/1:2,RF+0xa/8:2,RF+0x0/8:2	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:add;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x4	VVCC	b2=0xe8,b3=0x01	4b867e8bf93e37d5	10597	1	123@0x91a59:10597	337@0xbec0e:1011,114@0x90319:972,66@0x855ff:944,347@0xc088d:901,64@0x85059:880,18@0x7be9b:645	RF+0x81/8:6,WF+0x23/4:4,RF+0x23/4:3,RF+0x0/8:3,RF+0x170/4:3,RF+0xa/8:2	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x2	VV	-	3edd8ba62aebf90a	10317	2	144@0x95887:5216,173@0x9ba74:5101	258@0xadf2c:577,114@0x90319:519,64@0x85059:483,196@0x9fbcd:369,268@0xb0007:365,337@0xbec0e:364	WF+0x170/4:9,RF+0x81/8:6,RF+0x0/8:5,RF+0x194/1:5,RF+0x170/4:5,RF+0x71/8:5	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:xor;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x4	CCVV	b0=0xe8,b1=0x01	319f98700c785ece	10132	1	176@0x9c10b:10132	307@0xb8064:958,28@0x7e390:933,189@0x9e7af:820,340@0xbf435:797,18@0x7be9b:752,337@0xbec0e:714	RF+0x71/8:4,RF+0x23/4:3,WF+0x170/4:3,RF+0x170/4:2,RF+0x0/8:2,RF+0x194/1:2	IPADV+0x2;RIP+0x2/2:movzx;RF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x4	CCVV	b0=0xe8,b1=0x01	b9418f3062543231	9920	1	315@0xb9451:9920	28@0x7e390:1006,337@0xbec0e:731,307@0xb8064:617,215@0xa4609:544,64@0x85059:543,157@0x98a9a:512	WF+0x170/4:5,RF+0x23/4:3,RF+0x81/8:3,RF+0x71/8:2,RF+0x194/1:2,RF+0xa/8:2	IPADV+0x2;RIP+0x2/2:movzx;WF+0x170/4:or;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x4	VVCC	b2=0xe8,b3=0x01	747719a0099b2aa5	9886	1	26@0x7dbbb:9886	157@0x98a9a:959,66@0x855ff:687,114@0x90319:655,28@0x7e390:652,258@0xadf2c:567,185@0x9d964:518	WF+0x23/4:13,RF+0x170/4:7,RF+0x23/4:6,WF+0x170/4:3,RF+0x0/8:3,RF+0x71/8:2	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:xor;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x4	VVVV	-	39c3472d60af0b21	9817	1	203@0xa1484:9817	258@0xadf2c:699,297@0xb64d7:584,64@0x85059:479,315@0xb9451:473,189@0x9e7af:461,66@0x855ff:445	RF+0x23/4:9,WF+0x170/4:8,RF+0x170/4:5,WF+0x23/4:3,RF+0x81/8:3,RF+0x0/8:3	IPADV+0x0;RIP+0x0/2:movzx;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x4	VVCC	b2=0xe8,b3=0x01	f8cee7f7773eb2b2	9723	1	287@0xb45d2:9723	28@0x7e390:769,297@0xb64d7:686,199@0xa0631:651,189@0x9e7af:621,196@0x9fbcd:582,258@0xadf2c:541	RF+0x81/8:6,WF+0x170/4:5,RF+0x23/4:4,WF+0x23/4:4,RF+0x194/1:2,RF+0x170/4:2	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:add;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x4	CCVV	b0=0xe8,b1=0x01	26b3faf10f20df43	9482	1	20@0x7c62b:9482	114@0x90319:1276,258@0xadf2c:806,337@0xbec0e:719,185@0x9d964:712,347@0xc088d:691,18@0x7be9b:538	WF+0x170/4:6,RF+0x23/4:4,RF+0x81/8:3,WF+0x23/4:3,RF+0x0/8:3,RF+0xa/8:3	IPADV+0x2;RIP+0x2/2:movzx;RF+0x170/4:xor;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x4	VVCC	b2=0xe8,b3=0x01	39a7ccec3ca8a528	9481	1	161@0x9975a:9481	28@0x7e390:776,337@0xbec0e:707,340@0xbf435:650,18@0x7be9b:637,64@0x85059:606,258@0xadf2c:559	WF+0x23/4:4,RF+0x81/8:3,RF+0x0/8:2,RF+0xa/8:2,RF+0x170/4:2,RF+0x194/1:1	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:add;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x4	CCVV	b0=0xe8,b1=0x01	ef590697b9125e58	9431	1	158@0x99029:9431	340@0xbf435:989,189@0x9e7af:726,337@0xbec0e:710,18@0x7be9b:695,258@0xadf2c:648,64@0x85059:648	WF+0x170/4:5,RF+0x170/4:3,RF+0x0/8:3,RF+0x23/4:3,RF+0x194/1:2,RF+0xa/8:2	IPADV+0x2;RIP+0x2/2:movzx;RF+0x170/4:add;WF+0x170/4:add;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x4	CCVV	b0=0xe8,b1=0x01	9e9da93b4e74ac3f	9247	1	33@0x7f7c4:9247	258@0xadf2c:873,307@0xb8064:735,157@0x98a9a:700,114@0x90319:514,167@0x9a8d2:489,64@0x85059:438	WF+0x23/4:5,RF+0x23/4:5,RF+0x194/1:4,RF+0x81/8:4,RF+0x170/4:3,WF+0x170/4:2	IPADV+0x2;RIP+0x2/2:movzx;RF+0x170/4:add;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x4	VVCC	b2=0xe8,b3=0x01	d2ffd3225c84d40c	9073	1	346@0xc0535:9073	28@0x7e390:862,168@0x9aa83:678,258@0xadf2c:614,185@0x9d964:572,64@0x85059:531,347@0xc088d:490	RF+0x81/8:6,RF+0x23/4:4,WF+0x23/4:4,RF+0x194/1:2,RF+0x170/4:2,RF+0x71/8:2	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x5	CCCVV	b0=0x00,b1=0x3d,b2=0x01	2c3abb7d7eeede72	7955	2	301@0xb708d:4380,220@0xa522e:3575	198@0xa037e:1214,173@0x9ba74:1189,144@0x95887:1163,352@0xc1ec4:1032,160@0x994cf:954,256@0xad849:809	RF+0x81/8:9,WF+0x170/4:8,WF+0x23/4:8,RF+0x170/4:7,RF+0xa/8:6,RF+0x71/8:5	IPADV+0x3;RIP+0x3/2:movzx;RF+0x170/4:sub;WF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x2	VV	-	d2ffd3225c84d40c	5237	1	108@0x8f24b:5237	337@0xbec0e:401,215@0xa4609:378,333@0xbd8af:371,196@0x9fbcd:328,297@0xb64d7:247,345@0xc02e4:227	RF+0x71/8:3,RF+0x194/1:3,WF+0x170/4:3,RF+0x23/4:3,WF+0x23/4:3,RF+0x81/8:2	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x2	VV	-	78d825f46447db25	5207	1	160@0x994cf:5207	185@0x9d964:351,215@0xa4609:346,43@0x8173d:319,18@0x7be9b:310,172@0x9b68a:268,157@0x98a9a:268	WF+0x170/4:5,RF+0x81/8:3,RF+0x71/8:3,RF+0x170/4:2,RF+0x194/1:1,RF+0x16f/1:1	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:xor;WF+0x170/4:or;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x2	VV	-	4d56c48c590080c0	4958	1	257@0xadbfd:4958	172@0x9b68a:777,43@0x8173d:281,157@0x98a9a:273,185@0x9d964:247,203@0xa1484:215,168@0x9aa83:213	WF+0x170/4:5,RF+0x81/8:4,RF+0x170/4:3,RF+0x194/1:3,RF+0x0/8:2,WF+0x23/4:1	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;WF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x2	VV	-	4b867e8bf93e37d5	4955	1	198@0xa037e:4955	199@0xa0631:355,300@0xb6c36:328,18@0x7be9b:316,258@0xadf2c:314,337@0xbec0e:296,215@0xa4609:272	WF+0x170/4:4,RF+0x81/8:3,RF+0x170/4:3,RF+0x0/8:2,RF+0x23/4:2,RF+0x194/1:2	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x4	VVVV	-	4b867e8bf93e37d5	4852	2	260@0xae90b:2645,154@0x97ce6:2207	180@0x9cf32:631,91@0x8b6de:593,189@0x9e7af:271,340@0xbf435:257,183@0x9d495:247,64@0x85059:186	RF+0x23/4:14,WF+0x170/4:14,WF+0x23/4:12,RF+0x170/4:6,RF+0xa/8:4,IPADV+0x2:2	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x2	VV	-	f76b97432a76e62a	4424	1	352@0xc1ec4:4424	258@0xadf2c:408,307@0xb8064:319,196@0x9fbcd:305,340@0xbf435:288,292@0xb540f:263,172@0x9b68a:240	RF+0x81/8:6,RF+0x170/4:5,WF+0x23/4:3,WF+0x170/4:2,RF+0x194/1:2,RF+0x71/8:1	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:add;WF+0x170/4:or;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x2	VE	-	619c7eb6bef97657	4405	2	171@0x9b4b3:2533,354@0xc2241:1872	196@0x9fbcd:352,337@0xbec0e:328,322@0xbb3c9:256,185@0x9d964:251,268@0xb0007:225,168@0x9aa83:197	WF+0x170/4:7,WF+0x23/4:7,RF+0x23/4:4,WF+0xf3/4:2,RF+0xa/8:2,IPADV+0x0:2	IPADV+0x0;RIP+0x0/2:mov;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x6	VVVVVV	-	2f2ef4771685c4ce	4315	2	239@0xa991e:2519,124@0x91e81:1796	320@0xbada5:443,37@0x80685:324,297@0xb64d7:255,28@0x7e390:228,192@0x9f00a:199,43@0x8173d:191	WF+0x170/4:13,WF+0x23/4:9,RF+0x23/4:8,RF+0x81/8:7,RF+0x170/4:7,RF+0xa/8:4	IPADV+0x4;RIP+0x4/2:movzx;RF+0x170/4:add;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x5	CVVCC	b0=0x00,b3=0x3d,b4=0x01	722eeaa9becfafec	4132	1	49@0x82820:4132	144@0x95887:1018,352@0xc1ec4:600,257@0xadbfd:590,198@0xa037e:521,160@0x994cf:514,173@0x9ba74:413	WF+0x170/4:5,RF+0x81/8:5,RF+0x0/8:4,RF+0x170/4:4,RF+0xa/8:4,RF+0x194/1:3	IPADV+0x1;RIP+0x1/2:movzx;RF+0x170/4:add;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x2	VV	-	a5d0d63f903940f7	3880	1	256@0xad849:3880	340@0xbf435:390,189@0x9e7af:295,199@0xa0631:233,168@0x9aa83:225,215@0xa4609:209,114@0x90319:207	RF+0x81/8:6,WF+0x170/4:6,RF+0x194/1:4,RF+0x170/4:4,WF+0x23/4:4,RF+0x71/8:3	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:add;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x5	VVCCC	b2=0x3d,b3=0x01,b4=0x00	78d825f46447db25	3633	1	79@0x885b0:3633	257@0xadbfd:865,198@0xa037e:745,160@0x994cf:451,108@0x8f24b:397,144@0x95887:373,256@0xad849:350	WF+0x170/4:8,RF+0x23/4:4,RF+0xa/8:4,RF+0x81/8:3,RF+0x0/8:3,RF+0x170/4:3	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:xor;WF+0x170/4:or;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x5	VVCCC	b2=0x00,b3=0x3d,b4=0x01	19a61ea4ad71aa26	3433	1	3@0x78c77:3433	160@0x994cf:635,256@0xad849:510,257@0xadbfd:503,144@0x95887:485,352@0xc1ec4:418,173@0x9ba74:377	WF+0x170/4:7,RF+0x71/8:4,RF+0x81/8:3,RF+0xa/8:3,RF+0x194/1:2,RF+0x23/4:2	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:xor;WF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x4	VVVV	-	d00aa56fe7f09a59	3292	1	332@0xbd36d:3292	347@0xc088d:268,114@0x90319:257,90@0x8b334:256,99@0x8c99a:256,319@0xba72f:256,258@0xadf2c:249	RF+0x170/4:9,WF+0x23/4:7,WF+0x170/4:7,RF+0x23/4:6,RF+0x81/8:3,RF+0x0/8:3	IPADV+0x2;RIP+0x2/2:movzx;RF+0x170/4:xor;WF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add;RF+0x170/4:mov
exact	+0x4	VVVV	-	42f7d981c1615153	3190	1	300@0xb6c36:3190	258@0xadf2c:517,220@0xa522e:355,183@0x9d495:268,337@0xbec0e:262,333@0xbd8af:262,185@0x9d964:260	RF+0x170/4:9,RF+0x0/8:7,WF+0x170/4:5,RF+0x81/8:4,RF+0x23/4:3,WF+0x23/4:3	IPADV+0x2;RIP+0x2/2:movzx;RF+0x170/4:sub;WF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x5	CCCVV	b0=0x00,b1=0x3d,b2=0x01	f153e11dc164f351	2611	1	269@0xb045b:2611	108@0x8f24b:571,352@0xc1ec4:384,256@0xad849:368,160@0x994cf:364,173@0x9ba74:364,257@0xadbfd:274	WF+0x170/4:5,RF+0x170/4:4,RF+0x23/4:4,RF+0x0/8:4,WF+0x23/4:3,RF+0xa/8:3	IPADV+0x3;RIP+0x3/2:movzx;RF+0x170/4:add;WF+0x170/4:add;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x6	CCCCVV	b0=0xe8,b1=0x01,b2=0x3d,b3=0x01	e680d879fc3c7b7c	2509	1	167@0x9a8d2:2509	351@0xc1d48:1262,283@0xb3612:790,295@0xb60e0:457	RF+0xa/8:3,RF+0x23/4:2,RF+0x71/8:1,IPADV+0x2:1,IPADV+0x0:1,RIP+0x2/2:1	IPADV+0x4;RIP+0x4/2:movzx;RF+0x170/4:xor;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x5	VVCCC	b2=0x00,b3=0x3d,b4=0x01	f8cee7f7773eb2b2	2508	1	83@0x8947b:2508	173@0x9ba74:548,108@0x8f24b:441,160@0x994cf:336,257@0xadbfd:286,352@0xc1ec4:284,144@0x95887:271	WF+0x170/4:5,RF+0x81/8:3,RF+0xa/8:3,RF+0x0/8:2,RF+0x60/8:2,RF+0x23/4:2	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:add;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add
exact	+0x4	VVVV	-	26b3faf10f20df43	2413	1	350@0xc1926:2413	183@0x9d495:318,258@0xadf2c:257,281@0xb2db6:257,91@0x8b6de:203,114@0x90319:158,180@0x9cf32:147	WF+0x170/4:5,RF+0x170/4:4,RF+0x71/8:4,RF+0x81/8:3,WF+0x23/4:2,RF+0xa/8:2	IPADV+0x2;RIP+0x2/2:movzx;RF+0x170/4:xor;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add
