entry	target	observed_target	target_hits	tail_site	tail_reg	tail_distance	tail_site_hits	source_events	unique_vm_ips	top_ip_deltas	top_targets	top_sites	static_stop	insns	span_bytes	cond_jumps	jmps	calls	rets	frame_reads	frame_writes	ip_reads	table_reads	top_mnemonics
22	0x7cb43	0	0	0x7d004	r14	0x4c1	0	0	0				0x7d014	265	1233	8	2	0	0	0x81:6,0x194:4,0x23:4,0x0:4,0x170:3,0xa:3,0x60:2,0x71:2,0x10f:1	0x23:5,0x170:4,0x71:2,0x60:1,0x0:1,0xa:1	+0x2/1:1,+0x0/2:1,+0x3/2:1	dyn/8:1	mov:90,add:67,and:27,sub:25,xor:15,or:14,cmp:10,je:4
23	0x7d007	0	0	0x7d5e9	r9	0x5e2	0	0	0				0x7d5f9	329	1521	6	2	0	0	0x0:5,0x81:4,0x71:3,0xa:3,0x23:2,0x60:2,0x194:2,0x170:2,0x10f:1	0x170:5,0x71:2,0x23:1,0x0:1,0x60:1,0xa:1	+0x2/1:1,+0x0/2:1,+0x3/2:1	dyn/8:1	mov:86,add:84,and:39,or:35,sub:31,xor:30,cmp:9,jne:4
24	0x7d5ec	0	0	0x7d93f	rcx	0x353	0	0	0				0x7d94f	191	866	3	2	0	0	0xa:8,0x23:1,0x199:1,0x10f:1,0x170:1	0x23:1,0xa:1	+0x0/2:2,+0x4/2:2,+0x9/2:1,+0x6/1:1,+0x7/2:1,+0x2/2:1	dyn/8:1	add:51,mov:46,and:27,sub:20,xor:18,or:12,movzx:6,cmp:4
25	0x7d941	0	0	0x7dbb8	r12	0x277	0	0	0				0x7dbc8	140	647	2	2	0	0	0xa:8,0x170:3,0x71:2,0x199:1,0x10f:1	0x23:1,0x170:1,0xa:1	+0x0/2:2,+0x7/2:2,+0x9/2:1,+0x6/1:1,+0x2/2:1,+0x4/2:1	dyn/8:1	add:44,mov:43,sub:13,or:12,xor:7,movzx:6,and:6,cmp:3
26	0x7dbbb	1	3024	0x7dfbd	rdi	0x402	3024	3024	457	+0x4:3024	157@0x98a9a:391,28@0x7e390:348,114@0x90319:325,168@0x9aa83:299,258@0xadf2c:153	tail@0x7dfbd:3024	0x7dfcd	216	1042	11	2	0	0	0x170:7,0x23:6,0x0:3,0x71:2,0x194:2,0x81:2,0xa:2,0x10f:1	0x23:13,0x170:3,0xa:1	+0x2/2:1,+0x0/2:1	dyn/8:1	mov:70,add:62,xor:16,sub:15,cmp:14,and:12,or:11,je:9
27	0x7dfbf	0	0	0x7e38d	r10	0x3ce	0	0	0				0x7e39d	203	989	8	2	0	0	0xa:3,0x170:2,0x10f:1	0x199:4,0x170:1,0xa:1	+0x3/2:1,+0x2/1:1,+0x0/2:1	dyn/8:1	mov:43,or:38,add:34,and:31,xor:20,sub:14,cmp:8,jne:7
28	0x7e390	1	8348	0x7e7ca	r11	0x43a	8351	8348	1269	+0x3:8348	347@0xc088d:1136,189@0x9e7af:682,43@0x8173d:480,258@0xadf2c:415,168@0x9aa83:385	tail@0x7e7ca:8348	0x7e7da	231	1095	4	3	0	0	0x23:7,0x170:5,0x81:3,0xa:2,0x0:1,0x194:1,0x10f:1	0x23:7,0x170:4,0x194:1,0xa:1	+0x2/1:1,+0x0/2:1	dyn/8:1	mov:69,add:59,and:29,xor:22,sub:21,or:17,cmp:5,je:4
29	0x7e7cd	0	0	0x7ecd0	rdi	0x503	1050	0	0				0x7ece0	298	1298	6	5	0	1	0x81:6,0xa:4,0x170:4,0x23:4,0x194:2,0x0:2,0xbb:1,0x71:1,0x10f:1	0x23:4,0x170:2,0x1dc:1,0x60:1,0xa:1	+0x0/2:2,+0x2/4:1,+0x2/2:1	dyn/8:1	mov:83,add:76,and:32,sub:28,xor:23,or:18,pop:15,cmp:8
30	0x7e849	1	1050	0x7ecd0	rdi	0x487	1050	1050	139	+0x4:1050	203@0xa1484:269,192@0x9f00a:256,307@0xb8064:79,157@0x98a9a:67,91@0x8b6de:65	tail@0x7ecd0:1050	0x7ece0	261	1174	6	5	0	0	0x81:6,0x170:4,0x23:4,0x194:2,0x0:2,0xa:2,0x71:1,0x10f:1	0x23:4,0x170:2,0x60:1,0xa:1	+0x2/2:1,+0x0/2:1	dyn/8:1	mov:71,add:68,and:32,sub:28,xor:23,or:18,cmp:8,je:6
31	0x7ecd2	1	2	0x7efa6	rax	0x2d4	2	2	1	+0x5:2	352@0xc1ec4:2	tail@0x7efa6:2	0x7efb6	165	739	5	1	0	0	0x0:3,0xa:3,0x170:2,0x194:1,0x71:1,0x10f:1	0x71:2,0x0:1,0xa:1	+0x4/1:1,+0x0/2:1,+0x2/2:1	dyn/8:1	mov:40,add:38,and:18,sub:17,or:15,xor:14,cmp:6,jne:4
32	0x7efa8	0	0	0x7f7c1	r8	0x819	0	0	0				0x7f7d1	459	2089	38	3	0	1	0xa:6,0x12:1,0xbb:1,0x10f:1,0x170:1	0x12:19,0x1dc:1,0x170:1,0xa:1	+0x6/2:1,+0x8/1:1,+0x0/4:1,+0x4/2:1,+0x9/2:1,+0xb/2:1	dyn/8:1	mov:98,add:93,and:57,sub:48,xor:36,or:35,jne:25,cmp:22
33	0x7f7c4	1	2035	0x7fba1	rdi	0x3dd	2035	2035	426	+0x4:2035	297@0xb64d7:305,258@0xadf2c:155,66@0x855ff:127,307@0xb8064:120,157@0x98a9a:111	tail@0x7fba1:2035	0x7fbb1	206	1004	10	3	0	0	0x23:5,0x194:4,0x81:4,0x170:3,0x71:2,0xa:2,0x0:1,0x10f:1	0x23:5,0x170:2,0xa:1	+0x0/2:1,+0x2/2:1	dyn/8:1	mov:65,add:65,or:16,and:13,cmp:11,xor:10,sub:10,je:8
34	0x7fba3	0	0	0x7fd4a	r13	0x1a7	0	0	0				0x7fd5a	96	439	1	2	0	0	0xa:6,0x199:1,0x10f:1,0x170:1	0x170:2,0xa:1	+0x1/2:2,+0x5/2:2,+0x7/2:1,+0x3/2:1	dyn/8:1	add:35,mov:30,sub:9,xor:6,movzx:5,and:5,or:2,jmp:2
35	0x7fd4d	1	1	0x8009e	r8	0x351	1	1	1	+0x5:1	256@0xad849:1	tail@0x8009e:1	0x800ae	180	865	3	1	0	0	0xa:3,0x0:2,0x60:2,0x71:2,0xe1:1,0x10f:1,0x170:1,0x81:1	0x71:2,0x0:1,0x60:1,0xa:1	+0x2/1:1,+0x3/2:1,+0x0/2:1	dyn/8:1	mov:51,add:48,xor:20,sub:20,or:18,and:10,cmp:3,jne:2
36	0x800a1	1	4	0x80682	r15	0x5e1	4	4	1	+0x5:4	108@0x8f24b:4	tail@0x80682:4	0x80692	329	1521	7	2	0	0	0x23:3,0x71:3,0xa:3,0x0:2,0x60:2,0x81:1,0x194:1,0x10f:1,0x170:1	0x170:5,0x23:3,0x71:2,0x0:1,0x60:1,0xa:1	+0x2/1:1,+0x3/2:1,+0x0/2:1	dyn/8:1	mov:78,add:72,sub:42,xor:39,and:38,or:37,cmp:7,jne:4
37	0x80685	1	1003	0x80d77	rdx	0x6f2	1003	1003	130	+0x5:1003	256@0xad849:330,257@0xadbfd:279,160@0x994cf:152,144@0x95887:69,173@0x9ba74:54	tail@0x80d77:1003	0x80d87	396	1793	10	5	0	0	0x81:8,0x0:5,0x194:4,0x170:4,0xa:3,0x23:2,0x60:2,0x71:2,0x10f:1	0x23:4,0x170:3,0x71:2,0x60:1,0x0:1,0xa:1	+0x2/1:1,+0x3/2:1,+0x0/2:1	dyn/8:1	mov:101,add:100,xor:44,and:42,sub:38,or:36,cmp:13,je:6
38	0x80d79	0	0	0x80ef3	r8	0x17a	0	0	0				0x80f03	85	394	2	2	0	0	0xa:4,0x23:1,0x10f:1,0x170:1	0x23:2,0x170:1,0xa:1	+0x0/2:1,+0x6/2:1,+0x4/2:1,+0x2/2:1	dyn/8:1	add:29,mov:25,and:6,sub:6,movzx:4,or:4,xor:3,cmp:2
39	0x80ef6	0	0	0x8115a	r9	0x264	0	0	0				0x8116a	133	628	3	2	0	0	0xa:8,0x23:1,0x81:1,0x199:1,0x10f:1,0x170:1	0x23:2,0x170:1,0xa:1	+0x4/2:2,+0x8/2:2,+0x0/2:1,+0xa/1:1,+0x2/2:1,+0x6/2:1	dyn/8:1	mov:43,add:41,or:11,and:9,sub:7,movzx:6,xor:5,cmp:4
40	0x8115d	1	235	0x8129b	rcx	0x13e	235	235	51	+0x6:235	114@0x90319:69,66@0x855ff:21,64@0x85059:21,215@0xa4609:20,340@0xbf435:20	tail@0x8129b:235	0x812ab	73	333	0	1	0	0	0x170:3,0xa:3,0x10f:1	0x23:2,0x170:1,0xa:1	+0x0/2:1,+0x2/2:1,+0x4/2:1	dyn/8:1	mov:25,add:24,xor:6,and:5,or:5,sub:3,movzx:3,push:1
41	0x8129d	0	0	0x815e7	r15	0x34a	0	0	0				0x815f7	183	858	4	1	0	0	0xa:3,0x0:2,0x60:2,0x194:2,0x23:1,0x71:1,0x10f:1,0x170:1	0x170:2,0x71:2,0x0:1,0x60:1,0xa:1	+0x2/1:1,+0x3/2:1,+0x0/2:1	dyn/8:1	mov:55,add:46,xor:22,and:17,sub:16,or:9,cmp:4,jne:3
42	0x815ea	1	3	0x8173b	rax	0x151	7	3	3	+0x4:3	169@0x9af18:2,310@0xb8556:1	tail@0x8173b:3	0x8174b	77	352	0	1	0	0	0x170:3,0x0:1,0x23:1,0xa:1,0x10f:1	0x23:3,0x170:1,0xa:1	+0x2/2:1	dyn/8:1	mov:27,add:20,and:8,sub:7,xor:7,or:5,cmp:1,shl:1
43	0x8173d	1	5309	0x81b7c	r8	0x43f	5310	5309	840	+0x4:5309	26@0x7dbbb:595,347@0xc088d:515,258@0xadf2c:397,199@0xa0631:336,220@0xa522e:286	tail@0x81b7c:5309	0x81b8c	228	1100	3	3	0	0	0x81:4,0x23:3,0x170:3,0x71:2,0x194:2,0x0:2,0xa:2,0x10f:1	0x23:2,0x170:1,0x81:1,0xa:1	+0x2/2:1,+0x0/2:1	dyn/8:1	add:61,mov:59,xor:31,sub:26,and:24,or:14,cmp:5,je:3
44	0x81b7f	0	0	0x81f2c	rbx	0x3ad	0	0	0				0x81f3c	201	956	8	2	0	0	0xa:3,0x10f:1,0x170:1	0x199:4,0x170:1,0xa:1	+0x3/2:1,+0x0/1:1,+0x1/2:1	dyn/8:1	mov:49,add:33,xor:30,and:25,or:24,sub:17,cmp:8,jne:7
45	0x81f2e	0	0	0x820df	rcx	0x1b1	0	0	0				0x820ef	92	445	1	2	0	0	0xa:6,0x199:1,0x10f:1	0x170:1,0xa:1	+0x3/2:2,+0x5/2:2,+0x7/2:1,+0x0/2:1	dyn/8:1	mov:31,add:28,sub:10,movzx:5,and:5,or:5,xor:4,jmp:2
46	0x820e1	0	0	0x822b9	r9	0x1d8	0	0	0				0x822c9	104	488	1	2	0	0	0xa:4,0x71:1,0x10f:1,0x170:1	0x170:2,0xa:1	+0x0/2:1,+0x2/2:1,+0x4/2:1,+0x6/2:1	dyn/8:1	add:35,mov:29,sub:13,xor:6,and:6,or:5,movzx:4,jmp:2
47	0x822bc	0	0	0x82474	r11	0x1b8	0	0	0				0x82484	99	456	1	2	0	0	0xa:6,0x81:2,0x199:1,0x0:1,0x10f:1,0x170:1	0x170:1,0xa:1	+0x7/2:2,+0x3/2:2,+0x1/2:1,+0x5/2:1	dyn/8:1	mov:38,add:35,and:6,movzx:5,or:4,sub:4,cmp:2,jmp:2
48	0x82477	1	119	0x8281e	rdx	0x3a7	119	119	59	+0x5:119	92@0x8b8cb:10,297@0xb64d7:10,52@0x833c7:10,300@0xb6c36:8,28@0x7e390:7	tail@0x8281e:119	0x8282e	202	951	6	1	0	0	0x23:8,0x71:5,0xa:3,0x170:2,0x0:1,0x10f:1	0x170:8,0x23:5,0x16f:1,0x0:1,0xa:1	+0x3/2:1,+0x2/1:1,+0x0/2:1	dyn/8:1	mov:67,add:59,xor:20,and:19,sub:13,or:8,cmp:7,jne:4
49	0x82820	1	1844	0x82e73	r8	0x653	1844	1844	234	+0x5:1844	144@0x95887:471,198@0xa037e:361,257@0xadbfd:320,108@0x8f24b:261,160@0x994cf:145	tail@0x82e73:1844	0x82e83	357	1635	3	3	0	0	0x81:5,0x0:4,0x170:4,0xa:4,0x194:3,0x23:2,0x60:2,0x71:1,0x10f:1	0x170:5,0x23:3,0x71:2,0x0:1,0x60:1,0xa:1	+0x0/1:1,+0x3/2:1,+0x1/2:1	dyn/8:1	mov:104,add:85,or:43,xor:40,and:36,sub:33,cmp:6,je:3
50	0x82e76	1	320	0x833c5	rdx	0x54f	0	0	0				0x833d5	305	1374	7	3	0	1	0xa:19,0xbb:6,0x50:2,0x170:2,0x23:1,0x199:1,0x10f:1	0x23:2,0x170:2,0x1dc:1,0xa:1	+0x7/4:4,+0x0/1:2,+0x1/1:2,+0x9/2:2,+0x2/2:2,+0x3/4:1,+0x2/1:1,+0xb/2:1,+0x0/2:1,+0x4/1:1,+0x5/2:1,+0x7/2:1	dyn/8:1	mov:98,add:95,xor:19,and:17,sub:16,pop:16,or:14,movzx:9
51	0x83061	0	0	0x833c5	rdx	0x364	0	0	0				0x833d5	185	883	3	2	0	0	0xa:8,0x170:2,0x23:1,0x199:1,0x10f:1	0x23:2,0x170:2,0xa:1	+0x9/2:2,+0x2/2:2,+0x0/2:1,+0x4/1:1,+0x5/2:1,+0x7/2:1	dyn/8:1	add:53,mov:51,xor:19,and:17,or:14,sub:14,movzx:6,cmp:4
52	0x833c7	1	726	0x8371b	rcx	0x354	726	726	31	+0x5:726	75@0x873fc:286,316@0xb987b:265,64@0x85059:65,210@0xa2da3:41,145@0x95b5c:26	tail@0x8371b:726	0x8372b	185	866	5	1	0	0	0xa:4,0x60:2,0x0:2,0x71:2,0x194:1,0x10f:1,0x170:1	0x71:2,0x0:1,0x60:1,0x170:1,0xa:1	+0x2/1:1,+0x3/2:1,+0x0/2:1	dyn/8:1	mov:51,add:44,xor:22,sub:16,or:15,and:15,cmp:9,jne:4
53	0x8371d	0	0	0x83b3d	r12	0x420	1	0	0				0x83b4d	252	1072	7	2	0	1	0xa:6,0x0:2,0x60:2,0x23:1,0x194:1,0x71:1,0x10f:1,0x170:1	0x170:2,0x71:2,0x1dc:1,0x0:1,0x60:1,0xa:1	+0x0/4:2,+0x3/2:2,+0x2/1:1,+0x0/2:1	dyn/8:1	mov:66,add:61,pop:18,and:18,sub:18,xor:18,or:13,cmp:7
54	0x837cb	1	1	0x83b3d	r12	0x372	1	1	1	+0x5:1	256@0xad849:1	tail@0x83b3d:1	0x83b4d	198	898	5	1	0	0	0xa:4,0x0:2,0x60:2,0x23:1,0x194:1,0x71:1,0x10f:1,0x170:1	0x170:2,0x71:2,0x0:1,0x60:1,0xa:1	+0x3/2:2,+0x2/1:1,+0x0/2:1	dyn/8:1	mov:52,add:51,and:18,sub:18,xor:18,or:13,cmp:5,jne:4
55	0x83b40	0	0	0x83e73	r9	0x333	0	0	0				0x83e83	184	831	5	1	0	0	0xa:4,0x60:2,0x194:2,0x0:2,0x71:1,0x10f:1,0x170:1	0x71:2,0x60:1,0x0:1,0x170:1,0xa:1	+0x0/2:2,+0x4/1:1,+0x2/2:1	dyn/8:1	mov:53,add:47,sub:19,or:16,xor:12,and:9,cmp:5,jne:4
56	0x83e76	1	6	0x841f6	r14	0x380	6	6	2	+0x5:6	108@0x8f24b:4,160@0x994cf:2	tail@0x841f6:6	0x84206	201	912	5	1	0	0	0xa:4,0x0:2,0x60:2,0x194:1,0x71:1,0x10f:1,0x170:1	0x71:2,0x0:1,0x60:1,0x170:1,0xa:1	+0x2/2:2,+0x4/1:1,+0x0/2:1	dyn/8:1	mov:51,add:48,and:26,or:20,xor:18,sub:10,cmp:5,jne:4
57	0x841f9	0	0	0x84289	r9	0x90	0	0	0				0x84299	34	157	0	1	0	0	0xa:2,0xa1:1,0x10f:1,0x170:1	0x170:1,0xa:1	+0x2/2:1,+0x0/2:1	dyn/8:1	mov:15,add:12,movzx:2,sub:2,xor:1,and:1,jmp:1
58	0x8428c	0	0	0x84593	r11	0x307	0	0	0				0x845a3	179	791	2	2	0	1	0xa:10,0x81:1,0x199:1,0x71:1,0x10f:1	0x1dc:1,0x170:1,0xa:1	+0x2/2:3,+0x0/2:2,+0x8/2:2,+0x4/2:1,+0xa/1:1,+0x6/2:1	dyn/8:1	mov:58,add:49,pop:16,sub:15,and:10,or:8,xor:8,movzx:6
59	0x84302	0	0	0x84593	r11	0x291	0	0	0				0x845a3	143	673	2	2	0	0	0xa:8,0x81:1,0x199:1,0x71:1,0x10f:1	0x170:1,0xa:1	+0x8/2:2,+0x2/2:2,+0x4/2:1,+0xa/1:1,+0x0/2:1,+0x6/2:1	dyn/8:1	mov:46,add:42,sub:15,and:10,or:8,xor:8,movzx:6,cmp:2
60	0x84596	0	0	0x84760	rdx	0x1ca	0	0	0				0x84770	100	474	2	3	0	0	0xa:6,0x81:1,0x199:1,0x10f:1,0x170:1	0x170:2,0xa:1	+0x3/2:2,+0x0/2:2,+0x7/2:1,+0x5/2:1	dyn/8:1	mov:33,add:31,sub:10,or:6,movzx:5,and:5,jmp:3,xor:3
61	0x84762	0	0	0x84aa0	r8	0x33e	0	0	0				0x84ab0	178	843	2	2	0	0	0xa:8,0x194:1,0x199:1,0x71:1,0x10f:1,0x170:1	0x23:1,0x170:1,0xa:1	+0x3/2:2,+0x0/2:2,+0x9/2:1,+0x2/1:1,+0x7/2:1,+0x5/2:1	dyn/8:1	add:48,mov:45,sub:22,or:18,xor:16,and:14,movzx:6,cmp:3
